study_unit,study_area,sample_id,sample_date,lpm_name,tracers_modeled,free_params,uz_travel_time_yr,mean_age_yr,chi_square,chi_square_prob,H3_source,H3_scale,H3_conc_TU,H3_err,He3trit_source,He3trit_scale,He3trit_conc,He3trit_err,SF6_source,SF6_scale,SF6_conc_pptv,SF6_err,C14_source,C14_scale,C14_conc_pmC,C14_err
edtrpas1,OK,EDTRPAS1-01,2016-12-13 00:00:00,DM,14C,Mean Age,0,27502.46840205121,6.083132561745011e-20,na,,,,,"35-33,100-95",1,5.668376138853462e-06,0,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.9,na,na
edtrpas1,OK,EDTRPAS1-02,2016-12-14 00:00:00,DM,14C,Mean Age,0,54695.626537953955,1.2249138327188627e-19,na,,,,,"35-33,100-95",1,1.127300211148591e-05,0,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.9,na,na
edtrpas1,OK,EDTRPAS1-03,2016-12-14 00:00:00,DM,14C,Mean Age,0,16567.214712607874,1.8766978961042062e-19,na,,,,,"35-33,100-95",1,3.4145736735834613e-06,0,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.9,na,na
edtrpas1,TX,EDTRPAS1-04,2017-04-04 00:00:00,BMM-DM-DM,"3H, 3He(trit), 14C, 4He",Fraction,0,init. val.,1.7161182024619477,0.6333563158179213,,,,,"31-29,100-95",0.8,2.4062100083778217e-10,0.9592476489028213,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.65,na,na
edtrpas1,TX,EDTRPAS1-05,2017-04-03 00:00:00,BMM-DM-DM,"3H, SF6, 14C","Mean Age, Fraction",0,27.67805844409529,6.578155107980086e-07,0.9993528692026199,,,,,"31-29,100-95",0.8,1.9034335103880104e-10,0.7084639498432601,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.6,na,na
edtrpas1,TX,EDTRPAS1-06,2016-11-08 00:00:00,DM,"3H, 3He(trit), SF6, 14C","Mean Age, Model Parm 1",0,17.95846518157298,0.08956218593641432,0.9562067793117586,,,,,"31-29,100-95",0.8,1.2360149261186294e-10,1.3887147335423198,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.9,na,na
edtrpas1,TX,EDTRPAS1-07,2016-11-14 00:00:00,DM,"14C, 4He",Mean Age,0,55635.86334458448,1.8903815106755044,0.16915889731711942,,,,,"31-29,100-95",0.8,7.64452595397924e-06,0.031347962382445145,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.45,na,na
edtrpas1,TX,EDTRPAS1-08,2016-11-15 00:00:00,BMM-DM-DM,"3H, SF6, 14C","Mean Age, Fraction",0,26.707569051306585,0.0003927900448847913,0.9841878157145355,,,,,"31-29,100-95",0.8,1.8367928194866397e-10,0.2225705329153605,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.45,na,na
edtrpas1,TX,EDTRPAS1-09,2016-11-16 00:00:00,DM,"14C, 4He",Mean Age,0,43241.76177920832,32.38639486568106,1.2636811930200054e-08,,,,,"31-29,100-95",0.8,1.188308225468125e-06,0.025078369905956115,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.45,na,na
edtrpas1,TX,EDTRPAS1-10,2016-11-16 00:00:00,BMM-DM-DM,"3H, 3He(trit), SF6, 14C","Mean Age, Fraction",0,21.522831744807437,0.1779488769168066,0.9148689587365146,,,,,"31-29,100-95",0.8,1.4807705942161167e-10,0.8401253918495298,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.45,na,na
edtrpas1,TX,EDTRPAS1-11,2016-11-21 00:00:00,DM,4He,Mean Age,0,270618.27103468444,4.2599667489039964e-07,na,,,,,"33-31,100-95",1,5.5775580862275326e-05,0,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.9,na,na
edtrpas1,TX,EDTRPAS1-12,2016-11-28 00:00:00,DM,"3H, 3He(trit), SF6, 14C","Mean Age, Model Parm 1",0,19.34890508086169,1.6473804829974725,0.43880935052494974,,,,,"33-31,100-95",1,2.6629876019735857e-09,1.6520376175548588,Northern Hemisphere,1,na,na,Northern Hemisphere Zone 2,0.95,na,na
