decimal_year,H3_31to29_100to95,H3_31to29_105to100,H3_33to31_100to95,H3_33to31_105to100,H3_35to33_100to95,SF6_NH_pptv,C14_NHZone2_pmC
0.5,12.32,12.32,12.32,12.32,12.32,0,5730
2020,2.4134790722115493,2.601825018075011,2.7355009580306344,3.0616158641281785,3.268363372810081,9.97659495858818,95.21036804041752
2019.5,2.429643166903658,2.6245735783582416,2.754056580187658,3.091677985628982,3.2930095465873968,9.890044871020413,95.38759901383929
2019,2.4575829980226325,2.663993698716105,2.786133581150219,3.1438402880531893,3.335654946205264,9.742466696253624,95.68698301468379
2018.5,2.485844124948988,2.7040058946407775,2.8185841888128516,3.196882664601178,3.3788526157400116,9.595157824725542,95.98730980732978
2018,2.514430242443628,2.744619058887373,2.8514127546411676,3.2508199637444952,3.4226097072423616,9.447579649958811,96.28857606350469
2017.5,2.5433450877555974,2.7858422177768656,2.8846236807830885,3.305667284475753,3.4669334653840984,9.300270778430672,96.59079103890186
2017,2.572592441110666,2.827684533202248,2.9182214206591515,3.3614399805353496,3.5118312286575404,9.152692603663922,96.89395138432327
2016.5,2.6021761262055336,2.87015530466473,2.9522104795597026,3.4181536647096276,3.5573104305905674,9.005589388570797,97.19806641365376
2016,2.6321000107077452,2.9132639713405664,2.9865954152490257,3.475824213201362,3.6033786009773134,8.858145865423353,97.50313275663875
2015.5,2.6623680067613162,2.9570201141789436,3.0213808385765244,3.5344677700741065,3.650043367124868,8.71049668584097,97.80915978572004
2015,2.692984071498204,3.0014334580313538,3.056571414095009,3.59410075177149,3.6973124551160983,8.562918511074201,98.11614410945413
2014.5,2.7239522075556564,3.0465138738129327,3.09217186068619,3.6547398517128307,3.745193691088815,8.4156096395461,98.42409515920843
2014,2.7552764635994964,3.0922713806962907,3.128186952193451,3.716402044966163,3.7936950025315226,8.266814200701155,98.73300952221682
2013.5,2.786960934853419,3.138716148338311,3.1646215180620083,3.779104593000151,3.842824419595898,8.123424657534315,99.04289668914261
2013,2.8190097636344045,3.185858499140339,3.2014804439864992,3.842865048516235,3.8925900764263885,7.969963470319783,99.3537532257635
2012.5,2.58669484233695,2.814554539290229,2.9306350667039323,3.300559421390968,3.493554222718131,7.822224954462683,99.66558868241134
2012,2.9880926522875,3.5973869814739317,3.377951038819878,4.515688161043955,4.223936446684423,7.68222495446247,99.9783996032725
2011.5,2.9500779147332596,3.2283975860950918,3.3604217610847145,3.798841287875984,4.0154397036454315,7.542029680365374,100.29219559872291
2011,3.1621529990435113,3.802222687832337,3.577734960012949,4.788852076327733,4.468179534158261,7.401901826483974,100.60697319122174
2010.5,3.1298903831343257,3.4179724220298886,3.560068481857453,4.040311503706969,4.262355763756272,7.262029680365306,100.9227420515662
2010,3.435484841879767,4.1242494964068115,3.897773108866957,5.196853455222566,4.8862276691257565,7.127271689497661,101.23949868035197
2009.5,3.343061045658491,3.668764831122631,3.8127556732097205,4.334531243288716,4.572623230903754,6.976704109589093,101.5572528091774
2009,3.090712993506345,3.7210031487414397,3.5029466073150926,4.687337155591673,4.375227142381225,6.82574885844743,101.87600091663698
2008.5,3.0527845520772448,3.3406310552471314,3.4688504838009524,3.917200482751822,4.156767761313097,6.695825136612086,102.19575279551283
2008,2.8956440560427574,3.4758365591611184,3.2696507987379904,4.371875205777307,4.085878423738392,6.564279599271553,102.51650490225985
2007.5,2.8290856650998903,3.097220329364543,3.210817932862078,3.6386888390164045,3.8424651808393615,6.4027808219178155,102.83826709122819
2007,2.7449964586895113,3.3074330120792848,3.1008326756982405,4.167016842375241,3.8665510477104,6.237100456620851,103.16103579659436
2006.5,3.387056103712604,3.7164880626148467,3.8669370626944066,4.391459395559287,4.635930239451213,6.112131506849171,103.48482093466357
2006,2.8810099080155003,3.4764263266519184,3.261208774688084,4.368339452196793,4.083609850997006,5.99632876712307,103.80961891719365
2005.5,3.1875761068667305,3.49207244831623,3.6293925281630433,4.115746247506069,4.351930949040055,5.859435159817451,104.1354397228348
2005,3.0738573628911134,3.7033977907699787,3.4825435515036247,4.664951733862267,4.354814591748798,5.721038812785423,104.46227974078509
2004.5,3.4731054071554475,3.809082158294748,3.9745388922638814,4.530099482515509,4.761412656408727,5.6187064278496734,104.79014901243126
2004,3.1773288394989017,3.804486481538761,3.5974771108898835,4.802152942150213,4.489610678738701,5.523039035039943,105.1190439042702
2003.5,3.0554119015775822,3.3453061088864975,3.4808775075177274,3.943589170480344,4.165330688190133,5.410336933517726,105.44897452081965
2003,3.289534520361041,3.969585032947638,3.734378432308534,4.996772724934829,4.677573852374112,5.297689030684467,105.77993720573215
2002.5,3.1588438099403615,3.454789965861502,3.5964068697693263,4.081070159359934,4.304395509024537,5.185246689717644,106.11194212705387
2002,2.9008033634508554,3.49732511522807,3.2876097378536175,4.395046391690383,4.106932271628309,5.07259878688446,106.44498560544945
