SampleID,SharedLoc,SITE_NO,latitude,longitude,CoordSrc,Depth_m,County,Aq_class,Well_class,Aq_seg,LPM,n_active,tau1,tau1_lo,tau1_hi,w_tau1,IdentClass,BndActive,IntAtBnd,MaxAbsCorr,ProjGrad,f1,tau2,MeanAgeMix,F_lt25yr,F25_p16,F25_p84,F_lt40yr,dAICc,VsAssigned,IdentRank,LblTau1
EDTRPAS1-04/EDTRETN1-01,False,293116098334101,29.521111,-98.561389,site_no (decoded),167.64,Bexar,confined,PSW,San Antonio,BMM-DM-DM,4,35.0,,,,unconstrained,0,0,,0.0001070201396942,0.6149,5000.0,1947.0215,0.0062948130775226,0.0056994856405904,0.0066325778104341,0.5202161806397133,-117.72733554239068,supported,3,35.0
EDTRPAS1-05/EDTRETN1-03,False,292331098294501,29.391944,-98.495833,site_no (decoded),457.2,Bexar,confined,PSW,San Antonio,BMM-DM-DM,3,28.2125,2.82125,42.59540367070676,1.4098060671938597,unconstrained,0,1,0.4881834281256602,0.0003037497771697,0.6525,14500.0,5057.15865625,0.1375622624103821,0.0237472492699337,0.3660774584570027,0.6492091339974013,,not assessable,3,28.2
EDTRPAS1-28,False,293127098473201,29.524167,-98.792222,site_no (decoded),426.72,Bexar,confined,PSW,San Antonio,DM,4,30.5696,22.927200000711743,35.262067795251255,0.4035011185798803,well constrained,0,0,0.0791420144610367,0.4774931385930533,,,30.5696,9.90720962856738e-06,2.7523164822672035e-09,0.1330185380850307,0.9999999962973736,-14.948047272344656,contradicted,1,30.6
EDTRPAS1-29,False,291358098531901,29.232778,-98.888611,site_no (decoded),777.24,Medina,confined,PSW,San Antonio,BMM-DM-DM,4,42.028,4.2028,80.04209518445883,1.804494508053175,unconstrained,0,1,0.9509626520376304,0.006936047096934,0.1365,11500.0,9935.986822,1.6954287063132787e-05,5.587547424510851e-08,0.1746093213558197,0.0523442840395851,-234.7985098898959,supported,3,42.0
EDTRPAS1-30,False,291828098485301,29.307778,-98.814722,site_no (decoded),440.44,Medina,confined,PSW,San Antonio,BMM-DM-DM,4,30.1719,3.0171900000000003,78.40514755183034,2.498614855273627,unconstrained,0,1,0.0025829219457277,0.0003778935444122,0.7412,3000.0,798.7634122800001,0.0782726821965408,0.0421892190281826,0.1584572245398235,0.7266644434049669,-33.491719254451255,supported,3,30.2
EDTRPAS1-31,False,292119098524901,29.355278,-98.880278,site_no (decoded),217.93,Medina,confined,PSW,San Antonio,DM,3,31.1975,21.83825000072636,93.5925,2.299999999976717,unconstrained,0,1,,0.0034168074347755,,,31.1975,0.0017181284676509,1.1233033507153967e-09,0.0929818877207188,0.9996279145986648,,not assessable,3,31.2
EDTRPAS1-32,False,292424098421501,29.406667,-98.704167,site_no (decoded),224.03,Bexar,confined,PSW,San Antonio,DM,4,32.061,25.648799999253523,37.81781577992973,0.3795582103077324,well constrained,1,0,,0.0002012646291404,,,32.061,1.0939584073023089e-05,6.034094324118457e-10,0.0906251761563661,0.9999377900132608,-41.20774152327479,contradicted,1,32.1
EDTRPAS1-33,False,291937099280501,29.326944,-99.468056,site_no (decoded),369.11,Uvalde,confined,PSW,San Antonio,DM,4,31.2915,21.90405000072856,37.16254615840522,0.4876243119593713,well constrained,0,0,0.4986705310932677,0.0194284228806607,,,31.2915,0.016461343847868,2.134710704596032e-09,0.1215971277557242,0.99280628509993,-5.220892427291371,contradicted,1,31.3
EDTRPAS1-34,False,291943099163301,29.328611,-99.275833,site_no (decoded),392.89,Medina,confined,PSW,San Antonio,BMM-DM-DM,4,30.3118,3.0311800000000004,37.84051322970734,1.1483756566653032,unconstrained,0,1,0.1324097393326031,0.000186942289612,0.6653,3000.0,1024.26644054,0.0663375711672156,0.0338560125417081,0.1189669404088308,0.6511678653368383,-239.22206167339607,supported,3,30.3
EDTRPAS1-35,False,291232099470301,29.208889,-99.784167,site_no (decoded),121.92,Uvalde,confined,PSW,San Antonio,BMM-DM-DM,4,27.9778,2.79778,39.894975662073065,1.3259511349024249,unconstrained,0,1,0.1885455724617288,0.0001309575580582,0.8871,1000.0,137.71910638,0.2077329236045678,0.1071631266177748,0.339223061250476,0.8831889229348948,-132.02720881240748,supported,3,28.0
