SampleID,SiteNo,Network,Date,AgeCat,LPM,n_active,n_free,dof,tau1_PINN,pd1_PINN,f1_PINN,tau2_PINN,tau1_LPM,f1_LPM,tau2_LPM,chi2_PINN,chi2_LPM,chi2_delta,chi2_prob_PINN,chi2_prob_LPM,PINN_better,tau1_sigma_hess,f1_sigma_hess,pd1_sigma_hess,tau2_sigma_hess,tau1_sigma_LPM,f1_sigma_LPM,tau2_sigma_LPM,tau1_profile_lo,tau1_profile_hi,tau1_profile_sym,f1_profile_lo,f1_profile_hi,f1_profile_sym,tau2_profile_lo,tau2_profile_hi,tau2_profile_sym,tau1_MC_mean,tau1_MC_std,tau1_MC_p16,tau1_MC_p84,f1_MC_mean,f1_MC_std,f1_MC_p16,f1_MC_p84,tau2_MC_mean,tau2_MC_std,tau2_MC_p16,tau2_MC_p84,MC_n_ok,MC_n_fail,Tracer_names,Obs_vals,PINN_sim,LPM_sim,RelErr_PINN,RelErr_LPM
EDTRPAS1-36,291202099491001,EDTRPAS1,2017.181,Modern,DM,4,2,2,29.5683,0.0036,,,27.5876,,,0.045,5.2802,-5.2351,0.9777,0.0714,Yes,1.2514,,0.009,,1.5321,,,17.741,35.2001,8.7296,,,,,,,28.1533,1.7417,26.3735,29.8969,,,,,,,,,100.0,0.0,3H; 3He(trit); SF6; 14C; 4He,1.03448; 5.23000; 3.23346; 59.42554; 0.00000,1.12653; 4.93538; 3.19527; 70.35286; 0.00000,1.03695; 4.77967; 2.42033; 69.95110; 0.00000,8.9%; 5.6%; 1.2%; 18.4%; 14.3%,0.2%; 8.6%; 25.1%; 17.7%; 19.9%
EDTRPAS1-37,291839099382801,EDTRPAS1,2017.183,Modern,DM,3,2,1,22.6662,0.0136,,,13.9565,,,0.0483,0.0134,0.035,0.826,0.908,,3.8046,,0.0352,,4.9441,,,10.1998,36.2808,13.0405,,,,,,,21.741,2.919,17.0773,25.1518,,,,,,,,,100.0,0.0,3H; SF6; 14C; 4He,1.01254; 5.41406; 77.96481; 0.00000,1.22566; 5.07070; 78.00314; 0.00000,1.01269; 1.21753; 3.49501; 77.73734,21.0%; 6.3%; 0.0%; 19.4%,0.0%; 77.5%; 95.5%; 2385773826383.8%
EDTRPAS1-33,291937099280501,EDTRPAS1,2017.175,Modern,DM,4,2,2,31.2915,0.0053,,,29.3085,,,0.0134,0.4322,-0.4187,0.9933,0.8057,Yes,0.65,,0.0053,,1.5807,,,23.4686,36.7685,6.6499,,,,,,,31.7286,1.0858,30.6275,32.8609,,,,,,,,,100.0,0.0,3H; 3He(trit); SF6; 14C; 4He,1.10031; 6.30000; 2.17213; 76.12434; 0.00000,1.19980; 6.05650; 2.14429; 71.55168; 0.00000,1.10034; 6.30699; 2.13573; 71.17287; 0.00000,9.0%; 3.9%; 1.3%; 6.0%; 14.9%,0.0%; 0.1%; 1.7%; 6.5%; 20.2%
EDTRPAS1-31,292119098524901,EDTRPAS1,2017.161,Modern,DM,3,2,1,31.1975,0.0028,,,29.6115,,,0.0,0.0055,-0.0055,0.9964,0.9406,Yes,0.0458,,0.0005,,1.9466,,,23.3981,41.719,9.1604,,,,,,,32.1768,1.4266,30.8739,33.5957,,,,,,,,,100.0,0.0,3H; SF6; 14C; 4He,1.17555; 2.10493; 71.05903; 0.00000,1.17512; 2.10561; 71.37776; 0.00000,1.17554; 7.61770; 2.10971; 71.58064,0.0%; 0.0%; 0.4%; 95.0%,0.0%; 261.9%; 97.0%; 66190119934.4%
EDTRPAS1-32,292424098421501,EDTRPAS1,2017.164,Modern,DM,4,2,2,32.061,0.0017,,,28.1582,,,0.077,1.5221,-1.4451,0.9622,0.4672,Yes,1.5013,,0.0137,,1.9465,,,22.4427,37.7104,7.6338,,,,,,,30.8243,2.7351,29.5779,32.6609,,,,,,,,,100.0,0.0,3H; 3He(trit); SF6; 14C; 4He,0.98119; 7.23000; 2.30206; 66.75239; 0.00000,1.19849; 6.17742; 2.23679; 71.90059; 0.00000,0.98163; 4.18789; 2.23994; 70.04888; 0.00000,22.1%; 14.6%; 2.8%; 7.7%; 91.6%,0.0%; 42.1%; 2.7%; 4.9%; 92.7%
EDTRPAS1-42,292604098563201,EDTRPAS1,2017.233,Modern,DM,4,2,2,30.6951,0.0076,,,31.3748,,,0.0571,8.981,-8.9239,0.9719,0.0112,Yes,1.4204,,0.0122,,1.7721,,,26.0909,36.3182,5.1137,,,,,,,31.9256,1.0268,30.829,32.9358,,,,,,,,,100.0,0.0,3H; 3He(trit); SF6; 14C; 4He,0.99060; 6.62500; 2.14027; 72.62237; 0.00000,1.19358; 5.87587; 2.04637; 71.20341; 0.00000,0.99692; 5.15040; 1.65254; 71.88387; 0.00000,20.5%; 11.3%; 4.4%; 2.0%; 10.0%,0.6%; 22.3%; 22.8%; 1.0%; 7.9%
EDTRPAS1-28,293127098473201,EDTRPAS1,2017.156,Modern,DM,4,2,2,30.5696,0.0011,,,28.4313,,,0.0671,2.598,-2.5308,0.967,0.2728,Yes,1.1921,,0.0025,,1.7536,,,22.9272,35.251,6.1619,,,,,,,,,,,,,,,,,,,100.0,0.0,3H; 3He(trit); SF6; 14C; 4He,1.04389; 4.81000; 2.14093; 60.86386; 0.00000,1.14743; 5.29993; 2.44181; 70.89722; 0.00000,1.04365; 5.09096; 2.24241; 70.49312; 0.00000,9.9%; 10.2%; 14.1%; 16.5%; 92.5%,0.0%; 5.8%; 4.7%; 15.8%; 93.0%
EDTRPAS1-45,293127098573701,EDTRPAS1,2017.238,Modern,DM,3,2,1,20.9116,0.1227,,,11.3564,,,0.0044,0.0,0.0044,0.947,0.9989,,1.3993,,0.0388,,5.632,,,4.1823,49.9664,22.892,,,,,,,18.9722,3.759,15.242,23.0466,,,,,,,,,100.0,0.0,3H; SF6; 14C; 4He,1.53605; 6.11230; 83.44760; 0.00000,1.53022; 6.17458; 88.92424; 0.00000,1.53605; 2.11186; 6.11293; 83.45815,0.4%; 1.0%; 6.6%; 1027.6%,0.0%; 65.4%; 92.7%; 26213872222506.1%
EDTRPAS1-49,294019098114701,EDTRPAS1,2017.298,Modern,DM,4,2,2,21.5416,0.054,,,28.2468,,,0.2223,0.0325,0.1898,0.8948,0.9839,,4.9361,,0.0612,,4.9761,,,10.7708,26.4494,7.8393,,,,,,,20.7059,3.1489,17.8425,22.7233,,,,,,,,,100.0,0.0,3H; 3He(trit); SF6; 14C; 4He,0.99373; 4.31000; 7.59206; 71.28904; 0.00000,1.31827; 3.91307; 5.15531; 66.68317; 0.00000,0.99369; 4.42756; 2.27567; 70.11077; 0.00000,32.7%; 9.2%; 32.1%; 6.5%; 89.9%,0.0%; 2.7%; 70.0%; 1.7%; 86.7%
EDTRPAS1-50,295327097560401,EDTRPAS1,2017.334,Modern,DM,3,2,1,16.5395,0.001,,,10.0097,,,0.005,99.8323,-99.8273,0.9436,0.0,Yes,0.8382,,0.0061,,5.2982,,,4.1349,40.5086,18.1869,,,,,,,18.3002,3.1539,15.6251,22.0493,,,,,,,,,100.0,0.0,3H; SF6; 14C; 4He,1.19749; 6.64366; 78.25107; 0.00000,1.24468; 6.37376; 74.93353; 0.00000,1.31674; 0.99696; 6.27247; 72.09237,3.9%; 4.1%; 4.2%; 98.8%,10.0%; 85.0%; 92.0%; 29636783582.0%
