SampleID,tau2_was_free,note,free_params_orig,tau1,f1,frac_old,tau2,tau2_lo,tau2_hi,w_tau2,hit_bound,cls_tau2,mean_age,mean_age_lo,mean_age_hi,mean_age_span_factor,pct_from_tau2,chi2,seconds
EDTRPAS1-46,False,refit with tau2 freed,"Mean Age, Fraction",35.1879997253418,0.22402356564998627,0.7759764343500137,25553.658203125,5778.5783696446015,76660.974609375,2.7738649267470468,True,unconstrained,19836.919518226478,4491.923580055495,59494.992672346314,13.244880864961484,99.96026126355295,4.967995482729748e-05,7.1
EDTRPAS1-29,False,refit with tau2 freed,"Mean Age, Fraction",42.02799987792969,0.14139021933078766,0.8586097806692123,14184.3427734375,3140.6070556634495,42553.0283203125,2.778586353571154,True,unconstrained,12184.757785758873,2702.49828335215,36542.388661035075,13.521706521015172,99.95123129876475,0.9356797933578491,8.1
SCTXSUS1-04/EDTRVFPS1-20,True,tau2 already free,"Fraction, 2nd Mean Age",32.0,0.2262,0.7738,13049.916,1304.9916,39149.748,2.9,True,unconstrained,10105.2634008,1017.04090008,30301.3134024,29.793603580757186,99.9283700017218,0.0622,5.7
SCTXSUS1-13/EDTRVFPS1-08,True,tau2 already free,"Fraction, 2nd Mean Age",28.0,0.6377,0.36229999999999996,8464.3408,846.43408,9282.10789,0.996613204657355,True,unconstrained,3084.4862718399995,324.5186671839999,3380.7632885469993,10.417777559249402,99.4211159192695,0.2474,1.4
EDTRPAS1-30,False,refit with tau2 freed,"Mean Age, Fraction",30.171899795532227,0.7529594302177429,0.24704056978225708,10257.7890625,1025.77890625,15000.0,1.3623034172964599,True,unconstrained,2556.8082711848356,276.1272219492513,3728.326763212487,13.50220647168828,99.11146186694307,0.31710904836654663,2.0
EDTRPAS1-05/EDTRETN1-03,False,refit with tau2 freed,"Mean Age, Fraction",28.212499618530273,0.6315832138061523,0.36841678619384766,5764.39208984375,725.0,17293.17626953125,2.874227847672372,True,unconstrained,2141.5173492800477,284.92071116911575,6388.914965482991,22.42348385018184,99.16794784853988,0.0021330297458916903,14.0
EDTRPAS1-43,False,refit with tau2 freed,"Mean Age, Fraction",32.115699768066406,0.7704493999481201,0.22955060005187988,4403.828125,440.3828125,5000.0,1.0353758271390303,True,unconstrained,1035.6449102343158,125.83366047713025,1172.4965218746202,9.317828929308757,97.61081029118151,0.09998424351215363,1.5
EDTRVFPS1-12,True,tau2 already free,"Fraction, 2nd Mean Age",10.0,0.3511,0.6489,1286.7372,73.60207750382864,3860.2116,2.942799448478035,True,unconstrained,838.47476908,51.27138809223441,2508.40230724,48.924017869918444,99.58126348824398,0.6198,8.3
EDTRPAS1-35,False,refit with tau2 freed,"Mean Age, Fraction",27.977800369262695,0.8892186284065247,0.11078137159347534,4678.44921875,467.844921875,5000.0,0.9687302065738597,True,unconstrained,543.1634026537355,76.70688340854215,578.785239237564,7.545414616246942,95.41972431341307,0.17054064571857452,1.5
EDTRVFPS1-11,True,tau2 already free,"Fraction, 2nd Mean Age",14.0,0.4163,0.5837,775.1237,135.37219045,2325.3711,2.825354081613038,True,unconstrained,458.26790368999997,84.844947565665,1363.14731107,16.066334533532526,98.72821117231405,0.09,19.2
EDTRPAS1-04/EDTRETN1-01,False,refit with tau2 freed,Fraction,35.0,0.5967835783958435,0.4032164216041565,725.8952026367188,250.0,2177.6856079101562,2.655597668793088,True,unconstrained,313.5802913106563,121.69153064489365,898.9660234442599,7.387252166853913,93.3390503731748,1.0038412809371948,47.8
EDTRPAS1-34,False,refit with tau2 freed,"Mean Age, Fraction",30.311800003051758,0.6597786545753479,0.3402213454246521,762.811279296875,150.0,2288.433837890625,2.8033589643060033,True,unconstrained,279.5237583712534,71.03228043746833,798.5731178662191,11.242397300889488,92.84530276055874,3.454666875768453e-05,27.2
EDTRVFPS1-18,True,tau2 already free,"Fraction, 2nd Mean Age",12.0,0.4443,0.5557000000000001,399.1049,71.6369590688862,1197.3147,2.820505939493887,True,unconstrained,227.11419293000003,45.14025815458007,670.67937879,14.857677076043723,97.65245846980453,0.5518,17.9
SCTXSUS1-14/EDTRVFPS1-07,True,tau2 already free,"Fraction, 2nd Mean Age",8.0,0.4273,0.5727,285.1258,84.01835250403056,855.3774000000001,2.705328832031228,True,unconstrained,166.70994566000002,51.5357104790583,493.29303698000007,9.57186836844815,97.94949246341203,0.1785,14.0
SCTXSUS1-09/EDTRVFPS1-14,True,tau2 already free,"Fraction, 2nd Mean Age",10.0,0.5135,0.48650000000000004,285.219,80.2145271291502,855.6569999999999,2.7187616283306855,True,unconstrained,143.8940435,44.15936744833157,421.4121305,9.542983852589622,96.43140197113162,0.0463,14.5
EDTRPAS1-41,False,refit with tau2 freed,"Mean Age, Fraction",29.21109962463379,0.8537245988845825,0.14627540111541748,256.6802673339844,25.668026733398438,770.0408020019531,2.9000000000000004,True,unconstrained,62.484243372709216,28.692835216287175,137.57626149809153,4.794794953549863,60.088763240253705,0.16407747566699982,5.6
SCTXSUS1-10/EDTRVFPS1-15,True,tau2 already free,"Fraction, 2nd Mean Age",14.0,0.2759,0.7241,80.2475,75.18378829970345,240.7425,2.063101176987402,True,unconstrained,61.96981475,58.30318110781527,178.18424424999998,3.0561667625047515,93.76696539180796,0.0423,7.5
EDTRPAS1-44,False,refit with tau2 freed,"Mean Age, Fraction",18.606800079345703,0.6143916845321655,0.3856083154678345,107.4898452758789,10.748984527587892,322.4695358276367,2.9,True,unconstrained,52.88084141123227,15.576761061175421,135.77879774469193,8.716754221974698,78.38184314125866,0.004149428568780422,12.8
