SampleID,n_active,chi2_sigma_min,axis,n_f1,n_tau2,contraction_log_tau2,tau2_ci95_span
EDTRPAS1-30,4,9.012672424316406,f1,41,193,0.004931186629860584,77.73753142863792
EDTRPAS1-30,4,9.012672424316406,f1,81,193,0.006192406240074,77.3097783517595
EDTRPAS1-30,4,9.012672424316406,f1,161,193,0.005816314025544722,77.43708626444352
EDTRPAS1-30,4,9.012672424316406,f1,321,193,0.005819318560424724,77.43606839356607
EDTRPAS1-30,4,9.012672424316406,f1,641,193,0.005819318430481668,77.43606843758764
EDTRPAS1-30,4,9.012672424316406,tau2,641,13,-0.01579942773055265,85.11751044313607
EDTRPAS1-30,4,9.012672424316406,tau2,641,25,-0.016936901582630393,85.54214044208001
EDTRPAS1-30,4,9.012672424316406,tau2,641,49,-0.009333871591616028,82.74358929522259
EDTRPAS1-30,4,9.012672424316406,tau2,641,97,0.0007998424969497542,79.15535468513039
EDTRPAS1-30,4,9.012672424316406,tau2,641,193,0.005819318430481668,77.43606843758764
SCTXSUS1-09/EDTRVFPS1-14,4,4.625252723693848,f1,41,193,0.28264517928461486,23.066099407129578
SCTXSUS1-09/EDTRVFPS1-14,4,4.625252723693848,f1,81,193,0.28264679905354784,23.065935953347026
SCTXSUS1-09/EDTRVFPS1-14,4,4.625252723693848,f1,161,193,0.2826467803624596,23.0659378394916
SCTXSUS1-09/EDTRVFPS1-14,4,4.625252723693848,f1,321,193,0.28264678119190223,23.06593775579135
SCTXSUS1-09/EDTRVFPS1-14,4,4.625252723693848,f1,641,193,0.28264678193427273,23.065937680877667
SCTXSUS1-09/EDTRVFPS1-14,4,4.625252723693848,tau2,641,13,0.25587784090250487,25.931766493911393
SCTXSUS1-09/EDTRVFPS1-14,4,4.625252723693848,tau2,641,25,0.26000681710980866,25.467542964071423
SCTXSUS1-09/EDTRVFPS1-14,4,4.625252723693848,tau2,641,49,0.274641203123959,23.888105810816857
SCTXSUS1-09/EDTRVFPS1-14,4,4.625252723693848,tau2,641,97,0.2800665206140365,23.327790738946266
SCTXSUS1-09/EDTRVFPS1-14,4,4.625252723693848,tau2,641,193,0.28264678193427273,23.065937680877667
EDTRPAS1-46,3,0.00416412902995944,f1,41,193,0.5750214640339901,6.418879433120257
EDTRPAS1-46,3,0.00416412902995944,f1,81,193,0.5509979932719671,7.130234492906813
EDTRPAS1-46,3,0.00416412902995944,f1,161,193,0.5566590233641044,6.955812322326583
EDTRPAS1-46,3,0.00416412902995944,f1,321,193,0.6944497394305041,3.8066723280254973
EDTRPAS1-46,3,0.00416412902995944,f1,641,193,0.6291830508071616,5.064682248263765
EDTRPAS1-46,3,0.00416412902995944,tau2,641,13,0.6374264522917261,4.885283152735344
EDTRPAS1-46,3,0.00416412902995944,tau2,641,25,0.6172769458530967,5.335483766503233
EDTRPAS1-46,3,0.00416412902995944,tau2,641,49,0.6209482519970708,5.250471690658087
EDTRPAS1-46,3,0.00416412902995944,tau2,641,97,0.6268402751858257,5.116859322998124
EDTRPAS1-46,3,0.00416412902995944,tau2,641,193,0.6291830508071616,5.064682248263765
