SampleID,sigma_model,tau2_was_free,n_active,dof,assessable,n_sigma_substituted,tau1_pinned,tau2_src,tau2_lo_b,tau2_hi_b,chi2_sigma_min,p_at_min,scale_range,tau2_map,tau2_ci68_lo,tau2_ci68_hi,tau2_ci95_lo,tau2_ci95_hi,tau2_ci95_span,contraction_log_tau2,post_mass_lower_decile,post_mass_upper_decile,marginal_mode_at_bound,mean_age_ci95_lo,mean_age_ci95_hi,mean_age_ci95_span,seconds
EDTRPAS1-41,inversion,False,4,2,True,0,29.2111,200.0,10.0,1000.0,4.286167144775391,0.11729260457781658,,82.5404185268019,111.17565099816441,646.5196961652414,80.01784291996745,932.7803285848653,11.657154136457002,0.43863550581177513,0.0,0.17638635097844807,False,46.89209769026544,294.55227733572906,6.281490738190555,31.0
EDTRPAS1-35,inversion,False,4,2,True,0,27.9778,1000.0,50.0,5000.0,2.8781869411468506,0.23714263804985894,,78.86542916954859,106.90689988099635,2224.1733038461343,77.69789297065248,4342.049427497083,55.88374744135125,0.08037604144597599,0.04582131496823377,0.09050945497155372,False,44.10003072350965,1161.0312447416145,26.32722076818579,31.4
EDTRPAS1-29,inversion,False,4,2,True,0,42.028,11500.0,575.0,57500.0,0.9984123706817627,0.6070123237922287,,13635.398807554511,11845.480793484223,16083.361803053189,10312.564789498558,18905.95754966912,1.8332934566308225,0.8614568482297046,1.1323947998095247e-46,5.477211543129785e-06,False,9062.512188419272,16502.050046054635,1.8209134181515516,31.4
EDTRPAS1-46,inversion,False,3,1,True,0,35.188,23500.0,1175.0,117500.0,1.85026216506958,0.17375290608978505,,26558.560568917557,22831.377563022343,68729.93857323336,18764.136128649905,107996.91416827212,5.755496199123055,0.5999564360789491,3.4763983225142406e-60,0.14293003735560195,False,14776.112843725517,85061.7736120784,5.75670844637592,24.8
EDTRPAS1-30,inversion,False,4,2,True,0,30.1719,3000.0,150.0,15000.0,9.204105377197266,0.010031223618381003,,3915.235823523805,462.1957274786771,6215.301773738069,176.68819191021362,11779.380192025828,66.66761408714665,0.04004478274065204,0.06466842320920113,0.061967927271338756,False,87.20865320493138,4589.93275954505,52.63162072643387,30.9
EDTRPAS1-34,inversion,False,4,2,True,0,30.3118,3000.0,150.0,15000.0,0.05955458804965019,0.9706616816352531,,748.1831544673655,263.77682935727853,3413.376221291382,160.56784119158579,8603.370329089052,53.58090552406264,0.08999471107066215,0.13038313387631972,0.019848972170267532,False,75.58266892382964,2991.565699653558,39.5800484720695,30.7
EDTRPAS1-43,inversion,False,4,2,True,0,32.1157,1000.0,50.0,5000.0,3.0518739223480225,0.2174172498788296,,1658.8355639214296,161.10018297609201,2538.5683549725372,87.84559063778903,4439.043415081793,50.53234183813689,0.10338451296477258,0.003910812875110486,0.10958013789681238,False,52.76047498463924,1563.8171245813878,29.639936430380505,30.8
EDTRPAS1-04/EDTRETN1-01,inversion,False,4,2,True,0,35.0,5000.0,250.0,25000.0,40.21532440185547,1.8507734559574663e-09,,1132.895909400204,424.5685381609515,4418.563422787448,266.2553414967163,11661.537916070762,43.79832476042394,0.1360750002540012,0.13840465437012073,0.011587418627699766,False,116.82471889033147,4135.462979287204,35.39886950782519,31.1
EDTRPAS1-05/EDTRETN1-03,inversion,False,3,1,True,0,28.2125,14500.0,725.0,72500.0,0.0298088900744915,0.8629245726423568,,5182.086681757842,1566.85643711034,10166.579132790599,824.9277796832548,31551.855838692372,38.24802196721663,0.16704790520064838,0.08690468507468849,0.01346003778960772,False,341.597685709641,12342.668418145788,36.132178098645234,24.9
EDTRPAS1-44,inversion,False,4,2,True,0,18.6068,200.0,10.0,1000.0,0.21404677629470825,0.8985046583852115,,100.00000000000004,119.2289010428619,648.456167446878,86.40173600620052,932.391671059515,10.791353439849901,0.4562758332410427,0.0,0.1779061618997842,False,45.249049438249784,354.9376449471534,7.84409063513097,30.3
SCTXSUS1-13/EDTRVFPS1-08,inversion,True,4,2,True,0,28.0,1856.421578,92.8210789,9282.10789,24.73611831665039,4.252263373462153e-06,,8637.67008332697,1344.9889528207987,7486.239197906994,158.38429005574656,8974.817422672248,56.664820857632904,0.07720341046822932,0.02202389091472765,0.34342493344091,False,76.65159181861212,3478.2752887556517,45.37773066718069,30.8
SCTXSUS1-14/EDTRVFPS1-07,inversion,True,4,2,True,0,8.0,501.0161887,25.050809435,2505.0809435,17.8381290435791,0.00013381336574623458,,183.40243464113698,153.86025501451817,1042.0013138889153,106.73457367934668,2030.481695725762,19.023654901417043,0.32668738998543045,1.3148488650044787e-26,0.06908791458012184,False,65.19455769930991,1176.0730656450057,18.03943622210439,30.4
