SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,inversion,10.000000000000002,0.0,1681.594482421875
EDTRPAS1-41,inversion,10.242752213815926,0.0,1680.9373779296875
EDTRPAS1-41,inversion,10.4913972913631,0.0,1680.3389892578125
EDTRPAS1-41,inversion,10.746078283213178,0.0,1679.7884521484375
EDTRPAS1-41,inversion,11.006941712522098,0.0,1679.2708740234375
EDTRPAS1-41,inversion,11.274137659327856,0.0,1678.772216796875
EDTRPAS1-41,inversion,11.547819846894583,0.0,1678.2784423828125
EDTRPAS1-41,inversion,11.828145730152695,0.0,1677.775146484375
EDTRPAS1-41,inversion,12.115276586285885,0.0,1677.2520751953125
EDTRPAS1-41,inversion,12.409377607517198,0.0,1676.7032470703125
EDTRPAS1-41,inversion,12.710617996147455,0.0,1676.1219482421875
EDTRPAS1-41,inversion,13.019171061900781,0.0,1675.510498046875
EDTRPAS1-41,inversion,13.335214321633245,0.0,1674.8720703125
EDTRPAS1-41,inversion,13.658929601461868,0.0,1674.2125244140625
EDTRPAS1-41,inversion,13.990503141372942,0.0,1673.54296875
EDTRPAS1-41,inversion,14.330125702369628,0.0,1672.87646484375
EDTRPAS1-41,inversion,14.677992676220699,0.0,1672.22705078125
EDTRPAS1-41,inversion,15.034304197873343,0.0,1671.6075439453125
EDTRPAS1-41,inversion,15.399265260594923,0.0,1671.0322265625
EDTRPAS1-41,inversion,15.77308583390973,0.0,1670.51025390625
EDTRPAS1-41,inversion,16.15598098439874,0.0,1670.052490234375
EDTRPAS1-41,inversion,16.54817099943182,0.0,1669.6602783203125
EDTRPAS1-41,inversion,16.949881513903467,0.0,1669.3336181640625
EDTRPAS1-41,inversion,17.361343640045238,0.0,1669.0699462890625
EDTRPAS1-41,inversion,17.78279410038923,0.0,1668.857666015625
EDTRPAS1-41,inversion,18.214475363959455,0.0,1668.686279296875
EDTRPAS1-41,inversion,18.656635785769122,0.0,1668.541748046875
EDTRPAS1-41,inversion,19.109529749704407,0.0,1668.40771484375
EDTRPAS1-41,inversion,19.57341781487661,0.0,1668.2703857421875
EDTRPAS1-41,inversion,20.048566865527135,0.0,1668.113037109375
EDTRPAS1-41,inversion,20.535250264571467,0.0,1667.9266357421875
EDTRPAS1-41,inversion,21.033748010870337,0.0,1667.7039794921875
EDTRPAS1-41,inversion,21.544346900318843,0.0,1667.439208984375
EDTRPAS1-41,inversion,22.0673406908459,0.0,1667.135009765625
EDTRPAS1-41,inversion,22.603030271419208,0.0,1666.796875
EDTRPAS1-41,inversion,23.151723835152733,0.0,1666.4344482421875
EDTRPAS1-41,inversion,23.71373705661656,0.0,1666.0611572265625
EDTRPAS1-41,inversion,24.2893932734508,0.0,1665.6964111328125
EDTRPAS1-41,inversion,24.879023672388367,0.0,1665.3572998046875
EDTRPAS1-41,inversion,25.482967479793473,0.0,1600.107177734375
EDTRPAS1-41,inversion,26.10157215682537,0.0,1527.6756591796875
EDTRPAS1-41,inversion,26.735193599339915,0.0,1484.82080078125
EDTRPAS1-41,inversion,27.384196342643627,0.0,1476.2320556640625
EDTRPAS1-41,inversion,28.048953771218283,0.0,1506.8812255859375
EDTRPAS1-41,inversion,28.729848333536648,0.0,1582.6055908203125
