SampleID,sigma_model,tau2_was_free,n_active,dof,assessable,n_sigma_substituted,tau1_pinned,tau2_src,tau2_lo_b,tau2_hi_b,chi2_sigma_min,p_at_min,scale_range,tau2_map,tau2_ci68_lo,tau2_ci68_hi,tau2_ci95_lo,tau2_ci95_hi,tau2_ci95_span,contraction_log_tau2,post_mass_lower_decile,post_mass_upper_decile,marginal_mode_at_bound,mean_age_ci95_lo,mean_age_ci95_hi,mean_age_ci95_span,seconds
EDTRPAS1-41,reported,False,4,2,True,4,29.2111,200.0,10.0,1000.0,32.603309631347656,8.323026313327445e-08,,124.0937760751719,112.96304027109451,208.1384531294024,96.90083907803557,306.64146538073845,3.1644872046339647,0.7366824505384011,0.0,1.1466854802251686e-08,False,48.73108301648243,108.0237448952694,2.216731872319199,30.2
EDTRPAS1-35,reported,False,4,2,True,4,27.9778,1000.0,50.0,5000.0,21.424715042114258,2.2268052699196828e-05,,868.0671820022613,775.2213585232017,969.2295808569222,700.9401966380964,1082.8650769965277,1.544875129419384,0.9005824307222744,0.0005468763161278949,7.256953873897015e-33,False,209.02594719206638,291.3108036802947,1.3936585748974972,29.8
EDTRPAS1-29,reported,False,4,2,True,4,42.028,11500.0,575.0,57500.0,8.973804473876953,0.011255456598555789,,13635.398807554511,13408.357252177435,13852.145777033706,13327.079775176913,13948.488405073416,1.046627516333619,0.9895830798096997,0.0,0.0,False,11793.985189678053,12083.607749170787,1.0245568020338205,30.1
EDTRPAS1-46,reported,False,3,1,True,3,35.188,23500.0,1175.0,117500.0,2.0539486408233643,0.15181201271107259,,25314.607607874623,24551.198887226128,26158.69867425272,24154.822285423557,26919.91566914564,1.1144737622595013,0.9752263955450076,0.0,2.3570921787486255e-41,False,19234.0655087213,21002.960021123774,1.0919667509503075,23.6
EDTRPAS1-30,reported,False,4,2,True,4,30.1719,3000.0,150.0,15000.0,37.101871490478516,8.778715440026012e-09,,4107.629451396543,3851.1880622942635,4236.660281172889,3665.731567771335,4457.015519246033,1.2158597641004514,0.9553244806381742,0.0,6.043679268645385e-71,False,1464.0144844993083,1701.2459600194854,1.1620417543896842,29.6
EDTRPAS1-34,reported,False,4,2,True,4,30.3118,3000.0,150.0,15000.0,0.07371711730957031,0.9638124486379289,,748.1831544673655,683.5683531240791,812.3232397139801,629.929788438114,889.8580630518,1.4126305492841795,0.9210375821115881,3.4994231930568506e-12,1.577976175285358e-207,False,241.21285621335258,322.2512984745001,1.3359623675674612,29.9
EDTRPAS1-43,reported,False,4,2,True,4,32.1157,1000.0,50.0,5000.0,13.554519653320312,0.0011393927582903766,,1658.8355639214296,1556.5089419281871,1817.0511900031447,1445.3550331140732,1961.546143234266,1.357137933790592,0.9301979001225253,2.641145148689343e-13,1.5242329234425827e-16,False,530.3342496592459,684.0421871185318,1.2898321908457684,29.7
EDTRPAS1-04/EDTRETN1-01,reported,False,4,2,True,4,35.0,5000.0,250.0,25000.0,129.71510314941406,6.803356695793213e-29,,1132.895909400204,1036.9719801911644,1234.2529256977575,950.1707113968109,1330.4459173769294,1.4002177728895577,0.9230549548275672,1.2476833812930602e-26,3.276022735838362e-216,False,366.3002899391845,483.8705956919537,1.3209670016157755,29.9
EDTRPAS1-05/EDTRETN1-03,reported,False,3,1,True,3,28.2125,14500.0,725.0,72500.0,0.23260639607906342,0.6295979236301783,,5182.086681757842,4929.571396797483,5363.220098368959,4741.8256357487335,5550.416634515644,1.1705231404273755,0.9640105243068469,1.5402095099293547e-276,8.447278220181214e-182,False,1915.0671381004715,2140.17351337855,1.1175449000192017,23.8
EDTRPAS1-44,reported,False,4,2,True,4,18.6068,200.0,10.0,1000.0,59.84477996826172,1.0112793624757072e-13,,121.15276586285887,112.4646692763501,141.79209626513867,103.59098169787651,170.91696952174064,1.649921322497171,0.8855456657311196,0.0,2.7520649257661474e-35,False,49.17132005103109,72.87614791912178,1.4820864651078982,29.6
