SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,reported,10.000000000000002,0.0,1732.2132568359375
EDTRPAS1-41,reported,10.242752213815926,0.0,1731.571044921875
EDTRPAS1-41,reported,10.4913972913631,0.0,1730.9873046875
EDTRPAS1-41,reported,10.746078283213178,0.0,1730.4525146484375
EDTRPAS1-41,reported,11.006941712522098,0.0,1729.95068359375
EDTRPAS1-41,reported,11.274137659327856,0.0,1729.4681396484375
EDTRPAS1-41,reported,11.547819846894583,0.0,1728.990966796875
EDTRPAS1-41,reported,11.828145730152695,0.0,1728.504638671875
EDTRPAS1-41,reported,12.115276586285885,0.0,1727.9990234375
EDTRPAS1-41,reported,12.409377607517198,0.0,1727.4678955078125
EDTRPAS1-41,reported,12.710617996147455,0.0,1726.9049072265625
EDTRPAS1-41,reported,13.019171061900781,0.0,1726.3121337890625
EDTRPAS1-41,reported,13.335214321633245,0.0,1725.6927490234375
EDTRPAS1-41,reported,13.658929601461868,0.0,1725.052978515625
EDTRPAS1-41,reported,13.990503141372942,0.0,1724.4036865234375
EDTRPAS1-41,reported,14.330125702369628,0.0,1723.7576904296875
EDTRPAS1-41,reported,14.677992676220699,0.0,1723.1300048828125
EDTRPAS1-41,reported,15.034304197873343,0.0,1722.5321044921875
EDTRPAS1-41,reported,15.399265260594923,0.0,1721.979248046875
EDTRPAS1-41,reported,15.77308583390973,0.0,1721.4803466796875
EDTRPAS1-41,reported,16.15598098439874,0.0,1721.0467529296875
EDTRPAS1-41,reported,16.54817099943182,0.0,1720.678466796875
EDTRPAS1-41,reported,16.949881513903467,0.0,1720.3768310546875
EDTRPAS1-41,reported,17.361343640045238,0.0,1720.1387939453125
EDTRPAS1-41,reported,17.78279410038923,0.0,1719.9525146484375
EDTRPAS1-41,reported,18.214475363959455,0.0,1719.808349609375
EDTRPAS1-41,reported,18.656635785769122,0.0,1719.6915283203125
EDTRPAS1-41,reported,19.109529749704407,0.0,1719.5860595703125
EDTRPAS1-41,reported,19.57341781487661,0.0,1719.4781494140625
EDTRPAS1-41,reported,20.048566865527135,0.0,1719.3509521484375
EDTRPAS1-41,reported,20.535250264571467,0.0,1719.196044921875
EDTRPAS1-41,reported,21.033748010870337,0.0,1719.005615234375
EDTRPAS1-41,reported,21.544346900318843,0.0,1718.7745361328125
EDTRPAS1-41,reported,22.0673406908459,0.0,1718.50537109375
EDTRPAS1-41,reported,22.603030271419208,0.0,1718.2041015625
EDTRPAS1-41,reported,23.151723835152733,0.0,1717.8797607421875
EDTRPAS1-41,reported,23.71373705661656,0.0,1717.5469970703125
EDTRPAS1-41,reported,24.2893932734508,0.0,1717.2242431640625
EDTRPAS1-41,reported,24.879023672388367,0.0,1690.1514892578125
EDTRPAS1-41,reported,25.482967479793473,0.0,1605.8302001953125
EDTRPAS1-41,reported,26.10157215682537,0.0,1532.0155029296875
EDTRPAS1-41,reported,26.735193599339915,4.1794e-319,1491.0927734375
EDTRPAS1-41,reported,27.384196342643627,1.580215e-318,1488.27587890625
EDTRPAS1-41,reported,28.048953771218283,0.0,1529.160400390625
EDTRPAS1-41,reported,28.729848333536648,0.0,1620.3310546875
EDTRPAS1-41,reported,29.427271762092822,0.0,1717.3787841796875
EDTRPAS1-41,reported,30.14162529877391,0.0,1718.0028076171875
EDTRPAS1-41,reported,30.873319925702642,0.0,1718.8050537109375
EDTRPAS1-41,reported,31.62277660168379,0.0,1719.801025390625
EDTRPAS1-41,reported,32.390426504390305,0.0,1721.009033203125
EDTRPAS1-41,reported,33.17671127842858,0.0,1722.4619140625
EDTRPAS1-41,reported,33.98208328942561,0.0,1724.201171875
EDTRPAS1-41,reported,34.807005884284116,0.0,1726.2919921875
EDTRPAS1-41,reported,35.651953657755485,0.0,1728.819580078125
EDTRPAS1-41,reported,36.51741272548378,0.0,1731.8975830078125
EDTRPAS1-41,reported,37.403881003677874,0.0,1735.6634521484375
EDTRPAS1-41,reported,38.31186849557288,0.0,1740.281005859375
EDTRPAS1-41,reported,39.241897584845354,0.0,1745.9166259765625
EDTRPAS1-41,reported,40.19450333615125,0.0,1752.7374267578125
EDTRPAS1-41,reported,41.17023380295948,0.0,1760.8712158203125
EDTRPAS1-41,reported,42.16965034285825,0.0,1770.384521484375
EDTRPAS1-41,reported,43.19332794051545,0.0,1781.2431640625
EDTRPAS1-41,reported,44.24185553847917,0.0,1793.28125
EDTRPAS1-41,reported,45.315836376008185,0.0,1806.1771240234375
EDTRPAS1-41,reported,46.41588833612781,0.0,1819.440185546875
EDTRPAS1-41,reported,47.54264430111056,0.0,1832.4267578125
EDTRPAS1-41,reported,48.69675251658631,0.0,1844.3759765625
EDTRPAS1-41,reported,49.878876964491056,0.0,1854.4693603515625
EDTRPAS1-41,reported,51.08969774506929,0.0,1861.91650390625
EDTRPAS1-41,reported,52.32991146814949,0.0,1866.0447998046875
EDTRPAS1-41,reported,53.60023165391793,0.0,1866.3895263671875
EDTRPAS1-41,reported,54.901389143421405,0.0,1862.7537841796875
