SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,marginalised,10.000000000000002,2.198616135589313e-21,1681.594482421875
EDTRPAS1-41,marginalised,10.242752213815926,2.3233280837889097e-21,1680.9373779296875
EDTRPAS1-41,marginalised,10.4913972913631,2.444177318478216e-21,1680.3389892578125
EDTRPAS1-41,marginalised,10.746078283213178,2.5641178548323068e-21,1679.7884521484375
EDTRPAS1-41,marginalised,11.006941712522098,2.687359490364144e-21,1679.2708740234375
EDTRPAS1-41,marginalised,11.274137659327856,2.8180578384892824e-21,1678.772216796875
EDTRPAS1-41,marginalised,11.547819846894583,2.9540328629745394e-21,1678.2784423828125
EDTRPAS1-41,marginalised,11.828145730152695,3.1058701955971283e-21,1677.775146484375
EDTRPAS1-41,marginalised,12.115276586285885,3.2741649268212817e-21,1677.2520751953125
EDTRPAS1-41,marginalised,12.409377607517198,3.474509934132344e-21,1676.7032470703125
EDTRPAS1-41,marginalised,12.710617996147455,3.703141603508804e-21,1676.1219482421875
EDTRPAS1-41,marginalised,13.019171061900781,3.97095623966886e-21,1675.510498046875
EDTRPAS1-41,marginalised,13.335214321633245,4.295539677513117e-21,1674.8720703125
EDTRPAS1-41,marginalised,13.658929601461868,4.67212123396318e-21,1674.2125244140625
EDTRPAS1-41,marginalised,13.990503141372942,5.120336996627461e-21,1673.54296875
EDTRPAS1-41,marginalised,14.330125702369628,5.649038473892503e-21,1672.87646484375
EDTRPAS1-41,marginalised,14.677992676220699,6.258019674924793e-21,1672.22705078125
EDTRPAS1-41,marginalised,15.034304197873343,6.960088334891186e-21,1671.6075439453125
EDTRPAS1-41,marginalised,15.399265260594923,7.745793467290789e-21,1671.0322265625
EDTRPAS1-41,marginalised,15.77308583390973,8.603218330145053e-21,1670.51025390625
EDTRPAS1-41,marginalised,16.15598098439874,9.514440945346479e-21,1670.052490234375
EDTRPAS1-41,marginalised,16.54817099943182,1.0457575085730625e-20,1669.6602783203125
EDTRPAS1-41,marginalised,16.949881513903467,1.1366100140765736e-20,1669.3336181640625
EDTRPAS1-41,marginalised,17.361343640045238,1.2222129196496185e-20,1669.0699462890625
EDTRPAS1-41,marginalised,17.78279410038923,1.3000522439390085e-20,1668.857666015625
EDTRPAS1-41,marginalised,18.214475363959455,1.370493860834333e-20,1668.686279296875
EDTRPAS1-41,marginalised,18.656635785769122,1.4354871902199422e-20,1668.541748046875
EDTRPAS1-41,marginalised,19.109529749704407,1.501111931296821e-20,1668.40771484375
EDTRPAS1-41,marginalised,19.57341781487661,1.5748557359035246e-20,1668.2703857421875
