SampleID,sigma_model,tau2_was_free,n_active,dof,assessable,n_sigma_substituted,tau1_pinned,tau2_src,tau2_lo_b,tau2_hi_b,chi2_sigma_min,p_at_min,prior_window,scale_range,tau2_map,tau2_ci68_lo,tau2_ci68_hi,tau2_ci95_lo,tau2_ci95_hi,tau2_ci95_span,contraction_log_tau2,post_mass_lower_decile,post_mass_upper_decile,marginal_mode_at_bound,mean_age_ci95_lo,mean_age_ci95_hi,mean_age_ci95_span,seconds
EDTRPAS1-41,marginalised,False,4,2,True,0,29.2111,200.0,10.0,1000.0,4.339351177215576,0.114214663439331,bounds,2.0,82.8397908450661,110.58006728240039,647.9861211358553,79.41536112794566,933.3971155055673,11.753357313351207,0.43675687404085106,4.5506639112e-313,0.1711066223638283,False,46.92409207105878,294.364943573599,6.273215539851725,24.1
EDTRPAS1-35,marginalised,False,4,2,True,0,27.9778,1000.0,50.0,5000.0,2.835599899291992,0.2422463853094038,bounds,2.0,79.47451128432712,115.78293660271338,2316.557272613679,77.78545397239155,4395.9596422235145,56.51390353502052,0.07781299685594745,0.016641597712512425,0.09367734093977703,False,44.25684805589101,1172.7031745326863,26.497665921705604,23.9
EDTRPAS1-29,marginalised,False,4,2,True,0,42.028,11500.0,575.0,57500.0,2.18202543258667,0.33587617413814047,bounds,2.0,13909.632102301166,11934.13140768931,16052.819650155454,10035.22958317329,20240.436907828265,2.016938101921126,0.839635489317495,4.536966137788205e-15,0.0015341955944083198,False,8744.477287821219,18028.03100079079,2.0616476442679024,24.5
EDTRPAS1-46,marginalised,False,3,1,False,0,35.188,23500.0,1175.0,117500.0,0.6302049160003662,0.42728015933695707,bounds,2.0,25314.607607874623,22700.048653378144,58957.90837601535,18604.754500958272,105369.0097612668,5.6635528168802,0.6036373921118696,5.543999512352522e-19,0.10676863578914897,False,14720.340427030254,83538.75129635356,5.6750556626363995,19.7
EDTRPAS1-30,marginalised,False,4,2,True,0,30.1719,3000.0,150.0,15000.0,9.041194915771484,0.010882519878559404,bounds,2.0,4074.3048715133536,362.6326998032467,6570.775954404916,168.32107399520203,12677.379646707719,75.31665136041781,0.01216263016424124,0.08078939278462022,0.07795280349047211,False,84.20004749746181,4944.811089127809,58.72693942692692,24.1
EDTRPAS1-34,marginalised,False,4,2,True,0,30.3118,3000.0,150.0,15000.0,0.1475161761045456,0.9288963777953142,bounds,2.0,759.4405366923511,249.3406200054572,2434.1340407320563,158.62800444385115,6150.330943100718,38.77203753942277,0.16393756602465603,0.1378555079904113,0.007446259460109947,False,74.83189010346574,2158.3003677933502,28.841986548905723,24.1
EDTRPAS1-43,marginalised,False,4,2,True,0,32.1157,1000.0,50.0,5000.0,3.18027663230896,0.20389740747839546,bounds,2.0,1663.345941817268,159.92611373885114,2533.337439293803,86.85455443085696,4436.4686201608265,51.079285930740724,0.1009237803369234,0.0028574824140231675,0.10504386731842232,False,52.78853021132646,1562.3460248619874,29.596316067287773,24.0
EDTRPAS1-04/EDTRETN1-01,marginalised,False,4,2,True,0,35.0,5000.0,250.0,25000.0,40.41642379760742,1.673728777184491e-09,bounds,2.0,1127.270284731395,464.56145633921557,7986.567284376658,268.82749650650607,19840.072820586654,73.80224522570924,0.016805487256851492,0.11417670427041063,0.05346883009657648,False,118.11591540130445,7033.940461477016,59.55116579826578,24.8
EDTRPAS1-05/EDTRETN1-03,marginalised,False,3,1,False,0,28.2125,14500.0,725.0,72500.0,0.14410406351089478,0.7042346321043673,bounds,2.0,5196.176787933566,1844.6892702437701,8795.84581696122,870.5516124721985,30107.39525034067,34.58427371680064,0.19006386328556402,0.06040788122841815,0.012508072341767923,False,357.96827272234384,12056.277207263396,33.67973679783287,20.2
EDTRPAS1-44,marginalised,False,4,2,True,0,18.6068,200.0,10.0,1000.0,0.2145988941192627,0.8982566524002479,bounds,2.0,95.74852126495767,120.87314981982185,626.6994769004418,87.80365123912966,923.8666156627495,10.521961246766793,0.4620543695145115,1.1050371527e-314,0.15854481956692953,False,45.23071345496419,351.90453062003456,7.780211801664874,24.6
