SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,marginalised,10.000000000000002,1.937074764e-314,1681.594482421875
EDTRPAS1-41,marginalised,10.29386850802772,2.0245495636e-314,1680.808349609375
EDTRPAS1-41,marginalised,10.596372886056479,2.1094111564e-314,1680.10595703125
EDTRPAS1-41,marginalised,10.907766915109555,2.192991297e-314,1679.462890625
EDTRPAS1-41,marginalised,11.228311834035289,2.2778459403e-314,1678.8565673828125
EDTRPAS1-41,marginalised,11.55827655866908,2.367516115e-314,1678.2596435546875
EDTRPAS1-41,marginalised,11.89793790743586,2.466218442e-314,1677.64892578125
EDTRPAS1-41,marginalised,12.24758083358232,2.5785353323e-314,1677.0076904296875
EDTRPAS1-41,marginalised,12.60749866423369,2.709148779e-314,1676.3231201171875
EDTRPAS1-41,marginalised,12.977993346475667,2.8625698036e-314,1675.593505859375
EDTRPAS1-41,marginalised,13.359375700667911,3.0427926465e-314,1674.82275390625
EDTRPAS1-41,marginalised,13.751965681201613,3.2527854075e-314,1674.023193359375
EDTRPAS1-41,marginalised,14.15609264491992,3.4937613863e-314,1673.2154541015625
EDTRPAS1-41,marginalised,14.572095627426394,3.764211619e-314,1672.4197998046875
EDTRPAS1-41,marginalised,15.000323627513296,4.0589196403e-314,1671.6636962890625
EDTRPAS1-41,marginalised,15.44113589994832,4.368307219e-314,1670.9700927734375
EDTRPAS1-41,marginalised,15.894902256865421,4.6787471563e-314,1670.35595703125
EDTRPAS1-41,marginalised,16.362003378012563,4.9744029795e-314,1669.8365478515625
EDTRPAS1-41,marginalised,16.842831130116664,5.240543959e-314,1669.414306640625
EDTRPAS1-41,marginalised,17.337788895633683,5.4675283704e-314,1669.082763671875
EDTRPAS1-41,marginalised,17.84729191115962,5.6539651516e-314,1668.8297119140625
EDTRPAS1-41,marginalised,18.371767615786382,5.8075769686e-314,1668.6328125
EDTRPAS1-41,marginalised,18.91165600969469,5.9438503764e-314,1668.4661865234375
EDTRPAS1-41,marginalised,19.467410023284927,6.083183805e-314,1668.3016357421875
EDTRPAS1-41,marginalised,20.039495897155582,6.2479662115e-314,1668.116455078125
EDTRPAS1-41,marginalised,20.628393573248047,6.4604928934e-314,1667.8880615234375
EDTRPAS1-41,marginalised,21.234597097485942,6.7416751143e-314,1667.6038818359375
EDTRPAS1-41,marginalised,21.85861503424673,7.1101441065e-314,1667.260986328125
EDTRPAS1-41,marginalised,22.50097089301336,7.580548392e-314,1666.8634033203125
EDTRPAS1-41,marginalised,23.16220356756385,8.160004934e-314,1666.4273681640625
EDTRPAS1-41,marginalised,23.842867788067274,8.8414223555e-314,1665.9775390625
EDTRPAS1-41,marginalised,24.54353458646542,9.5933571997e-314,1665.5447998046875
EDTRPAS1-41,marginalised,25.264791775530544,1.03482633023e-313,1632.35498046875
EDTRPAS1-41,marginalised,26.007244442001152,1.09966078723e-313,1536.8282470703125
EDTRPAS1-41,marginalised,26.771515454209453,1.1398315396e-313,1483.3743896484375
EDTRPAS1-41,marginalised,27.5582459846264,1.14206781344e-313,1480.294921875
EDTRPAS1-41,marginalised,28.368096047762698,1.0993247369e-313,1536.57763671875
EDTRPAS1-41,marginalised,29.201745053876998,1.01467250257e-313,1663.42578125
EDTRPAS1-41,marginalised,30.059892378955855,9.003975351e-314,1665.8896484375
EDTRPAS1-41,marginalised,30.943257951443606,7.727426093e-314,1666.7626953125
EDTRPAS1-41,marginalised,31.852582856214354,6.460607637e-314,1667.9097900390625
EDTRPAS1-41,marginalised,32.78862995629285,5.296704418e-314,1669.3709716796875
EDTRPAS1-41,marginalised,33.75218453284572,4.278388761e-314,1671.2059326171875
EDTRPAS1-41,marginalised,34.74405494398007,3.4139065915e-314,1673.51123046875
EDTRPAS1-41,marginalised,35.76507330290212,2.6944456887e-314,1676.4307861328125
EDTRPAS1-41,marginalised,36.81609617600469,2.1055356086e-314,1680.16552734375
EDTRPAS1-41,marginalised,37.89800530146943,1.6319760635e-314,1684.9686279296875
EDTRPAS1-41,marginalised,39.011708328986366,1.258668086e-314,1691.13525390625
EDTRPAS1-41,marginalised,40.158139581211515,9.70321993e-315,1698.961181640625
EDTRPAS1-41,marginalised,41.33826083760145,7.516788223e-315,1708.692138671875
EDTRPAS1-41,marginalised,42.553062141282105,5.883636054e-315,1720.43701171875
EDTRPAS1-41,marginalised,43.803562629629035,4.677771006e-315,1734.0867919921875
EDTRPAS1-41,marginalised,45.090811389255805,3.795894356e-315,1749.23046875
EDTRPAS1-41,marginalised,46.415888336127786,3.157784894e-315,1765.1134033203125
EDTRPAS1-41,marginalised,47.779905121539684,2.70381844e-315,1780.6434326171875
EDTRPAS1-41,marginalised,49.184006064716954,2.391500273e-315,1794.4820556640625
EDTRPAS1-41,marginalised,50.629369112823404,2.192149157e-315,1805.2044677734375
EDTRPAS1-41,marginalised,52.117206829180404,2.08842795e-315,1811.518798828125
EDTRPAS1-41,marginalised,53.64876741052672,2.072979777e-315,1812.4940185546875
EDTRPAS1-41,marginalised,55.22533573417245,2.148587547e-315,1807.744873046875
EDTRPAS1-41,marginalised,56.84823443592554,2.330254833e-315,1797.51904296875
EDTRPAS1-41,marginalised,58.51882501969507,2.65091622e-315,1782.66552734375
EDTRPAS1-41,marginalised,60.238508999702354,3.174353657e-315,1764.4898681640625
EDTRPAS1-41,marginalised,62.00872907625803,4.025466627e-315,1744.5257568359375
EDTRPAS1-41,marginalised,63.83097034609151,5.46940273e-315,1724.29736328125
EDTRPAS1-41,marginalised,65.70676154824824,8.158274456e-315,1705.117919921875
EDTRPAS1-41,marginalised,67.6376763465999,1.4149068507e-314,1687.9473876953125
EDTRPAS1-41,marginalised,69.6253346500436,3.3761834927e-314,1673.353515625
EDTRPAS1-41,marginalised,71.67140397149747,2.357707195e-313,800.3064575195312
EDTRPAS1-41,marginalised,73.77760082683305,2.7214942361420096e-05,40.06852722167969
EDTRPAS1-41,marginalised,75.94569217491764,0.0040640867720694385,9.632843017578125
EDTRPAS1-41,marginalised,78.17749689997515,0.012670557023313173,5.116847515106201
