SampleID,sigma_model,tau2_was_free,n_active,dof,assessable,n_sigma_substituted,tau1_pinned,tau2_src,tau2_lo_b,tau2_hi_b,chi2_sigma_min,p_at_min,prior_window,scale_range,tau2_map,tau2_ci68_lo,tau2_ci68_hi,tau2_ci95_lo,tau2_ci95_hi,tau2_ci95_span,contraction_log_tau2,post_mass_lower_decile,post_mass_upper_decile,marginal_mode_at_bound,mean_age_ci95_lo,mean_age_ci95_hi,mean_age_ci95_span,seconds
EDTRPAS1-41,marginalised,False,4,2,True,0,29.2111,200.0,20.0,600.0,4.346285343170166,0.1138193573993707,profile,5.0,83.84260013247567,101.90450776184078,426.92862861581034,78.50862238251763,568.7537063172699,7.244474416403981,0.3871387333060581,1.528379943872206e-17,0.1609186511236569,False,46.757989498382976,187.44028166320425,4.008732703737967,23.7
EDTRPAS1-35,marginalised,False,4,2,True,0,27.9778,1000.0,100.0,3000.0,5.922652244567871,0.05175024449618095,profile,5.0,849.1943156958445,169.3448082951281,1716.6685983864238,106.60524344752464,2744.8380344547563,25.74768318789005,-0.005325411601966312,0.09989769497066169,0.09737425725281298,False,48.795993904274695,736.1884486038044,15.087067394262295,24.7
EDTRPAS1-29,marginalised,False,4,2,True,0,42.028,11500.0,1150.0,34500.0,2.1831822395324707,0.3356819583655076,profile,5.0,13751.372653748133,11860.893887033912,16350.494579958375,9391.183806093035,22375.335938817563,2.382589501048884,0.731305796029004,3.365510641350561e-05,0.01584510652977982,False,8089.422120252913,19998.601592006737,2.4721916219376974,24.7
EDTRPAS1-46,marginalised,False,3,1,False,0,35.188,23500.0,2350.0,70500.0,0.6308873295783997,0.42703002231827414,profile,5.0,25250.252148968513,22578.442353883594,38500.828557701236,17291.708266672427,63371.4443888444,3.664845798433045,0.5980405490946106,1.3457364178703002e-05,0.08221734167308709,False,13134.020057368574,50259.524515648314,3.8266672577107292,19.7
EDTRPAS1-30,marginalised,False,4,2,True,0,30.1719,3000.0,300.0,9000.0,9.04120922088623,0.010882442040989985,profile,5.0,4078.5885004947763,554.98293514479,5301.530181835684,325.03398182704115,8228.238077183018,25.315008698264272,-8.044734801582187e-05,0.08508393106668274,0.10054893782476479,False,144.77106354542198,3218.55005353721,22.23199840296392,25.0
EDTRPAS1-34,marginalised,False,4,2,True,0,30.3118,3000.0,300.0,9000.0,0.14751467108726501,0.9288970767981274,profile,5.0,768.9256868121867,416.526486658942,1555.1783467915807,311.07679556351894,3185.6398268571115,10.240686133744855,0.280015594025815,0.1564348071011487,0.002590995642776186,False,126.43338442801918,1159.6822536409722,9.17227881613183,26.0
EDTRPAS1-43,marginalised,False,4,2,True,0,32.1157,1000.0,100.0,3000.0,3.1802539825439453,0.20389971660565398,profile,5.0,1648.1596316137131,176.96649386860696,1794.459325785019,107.51576330280336,2762.4407721667585,25.69335590714009,-0.004671704879784855,0.09184074454165303,0.10573594682522061,False,58.705121268539024,977.4680235809801,16.65047277748867,24.3
EDTRPAS1-04/EDTRETN1-01,marginalised,False,4,2,True,0,35.0,5000.0,500.0,15000.0,40.41642379760742,1.673728777184491e-09,profile,5.0,1127.1784942171191,828.9825369889566,8125.762215493659,531.4964321681977,13570.597523679025,25.532810198403112,-0.0027317893286626926,0.10384868156196186,0.08727477175581459,False,209.5896600638584,4813.281523164257,22.96526232113613,24.8
EDTRPAS1-05/EDTRETN1-03,marginalised,False,3,1,False,0,28.2125,14500.0,1450.0,43500.0,0.1440097540616989,0.704326871547994,profile,5.0,5122.502493949851,3159.2440601234075,6884.302441222276,1767.9404947184007,16902.93595709718,9.560805925082617,0.30127640296715275,0.042622162772514634,0.0070873051031268425,False,702.4191208720513,7143.92648810213,10.170461304118495,19.7
EDTRPAS1-44,marginalised,False,4,2,True,0,18.6068,200.0,20.0,600.0,0.2073359489440918,0.901524576907852,profile,5.0,95.32463761172104,118.68612279126569,409.3757462007679,89.15724667666133,560.4116130310808,6.285654099026587,0.4310765473441692,2.7599089092696386e-22,0.14175622333662363,False,45.31924928474261,217.1149355447592,4.790788439160092,24.2
SCTXSUS1-13/EDTRVFPS1-08,marginalised,True,4,2,True,0,28.0,1856.421578,846.43408,9282.10789,24.7395076751709,4.245063253584116e-06,profile,5.0,8872.02918361465,1291.4111239178237,6534.692588751685,894.1192983608058,8784.038881634946,9.824235868456006,-0.004299357216799082,0.087083111676382,0.10975571300853934,False,224.27925689247488,3955.393521416906,17.636020273213322,24.2
SCTXSUS1-14/EDTRVFPS1-07,marginalised,True,4,2,True,0,8.0,501.0161887,28.512580000000003,855.3774000000001,17.84267807006836,0.0001335093513469912,profile,5.0,183.3465216020342,132.22335123460712,593.9846057774218,97.18842841904464,807.3785991559001,8.307353172486216,0.3447691289037046,7.525505727129353e-05,0.15002346598501598,False,56.295028365393044,490.29764056198616,8.709430562493385,24.1
SCTXSUS1-10/EDTRVFPS1-15,marginalised,True,4,2,True,0,14.0,78.4246457,8.024750000000001,240.7425,4.881301403045654,0.08710415421169816,profile,5.0,80.86473285654588,78.45812191659579,122.7133819550505,76.14906859010287,216.62494009846822,2.844748387725166,0.6764375952957049,3.988895855688059e-12,0.08107605903196193,False,51.80754439383489,159.19691980864903,3.0728520656847325,23.7
SCTXSUS1-09/EDTRVFPS1-14,marginalised,True,4,2,True,0,10.0,519.9974898,28.521900000000002,855.6569999999999,4.633307933807373,0.09860296302084816,profile,5.0,187.37199544908543,132.9008725342055,591.3218606614951,97.59776705640695,806.4731324800958,8.26323344071993,0.346417179576501,0.00017998809615542798,0.14790682383963952,False,51.04170611844378,412.7399744177199,8.086327942485791,24.4
SCTXSUS1-04/EDTRVFPS1-20,marginalised,True,3,1,False,0,32.0,13752.719,1304.9916,39149.748,6.248481273651123,0.012429983619533617,profile,5.0,12871.978038988475,8396.29040286234,22328.62132423873,3818.9969501682963,34928.2886959375,9.145932597405787,0.3150061713663672,0.003754367091621048,0.0833590252626111,False,3041.6167770339694,26572.89802364968,8.736438536337317,19.9
EDTRVFPS1-11,marginalised,True,3,1,False,0,14.0,2707.443809,135.37219045,2325.3711,8.998361587524414,0.0027022175637358642,profile,5.0,781.0907691922567,210.17330374606516,1442.0719563301536,142.77796452778517,2152.013863901048,15.072450927693799,-0.004235546128913192,0.10012639276331335,0.09429906458682154,False,86.90345961513144,1304.3669055155344,15.009378352624536,19.1
EDTRVFPS1-12,marginalised,True,4,2,True,0,10.0,1148.20493,128.67372,3860.2116,61.98926544189453,3.4610035174720375e-14,profile,5.0,1269.1923059389446,219.36130050735065,2206.0081439679084,137.3926164793433,3526.68013381148,25.668629247931307,-0.004373717253873588,0.09858815357235758,0.09661026305568861,False,89.71121115291496,2375.6756972523135,26.481369125681695,24.4
EDTRVFPS1-18,marginalised,True,4,2,True,0,12.0,899.3722891,44.968614455,1197.3147,13.868114471435547,0.0009740409269801041,profile,5.0,78.51296519053163,79.07519296545766,666.4124930554685,75.7472800366315,1091.9293259351803,14.415426209457577,0.14416654186252653,8.748333385361205e-06,0.08992070088749621,False,43.66839207440315,654.8074561075119,14.99499809820881,23.9
