SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,marginalised,19.999999999999996,1.817236663445784e-20,1668.1302490234375
EDTRPAS1-41,marginalised,20.43243219786202,1.932434287884539e-20,1667.9686279296875
EDTRPAS1-41,marginalised,20.87421427601144,2.0871890455629642e-20,1667.778564453125
EDTRPAS1-41,marginalised,21.325548393912364,2.300195988103837e-20,1667.55712890625
EDTRPAS1-41,marginalised,21.786641082041985,2.6010889793192362e-20,1667.3031005859375
EDTRPAS1-41,marginalised,22.25770333639892,3.0441698772424344e-20,1667.01708984375
EDTRPAS1-41,marginalised,22.738950715054912,3.7200040495039024e-20,1666.7081298828125
EDTRPAS1-41,marginalised,23.230603436794294,4.8405366410514497e-20,1666.3818359375
EDTRPAS1-41,marginalised,23.732886481885995,6.917881436142103e-20,1666.0496826171875
EDTRPAS1-41,marginalised,24.24602969503459,1.1499086362053533e-19,1665.723388671875
EDTRPAS1-41,marginalised,24.770267890557182,2.374284433829623e-19,1665.41552734375
EDTRPAS1-41,marginalised,25.30584095983442,5.954109345776548e-19,1626.0350341796875
EDTRPAS1-41,marginalised,25.852993981084822,1.5244701458097618e-18,1553.2884521484375
EDTRPAS1-41,marginalised,26.411977331512542,3.2171715156411163e-18,1502.5654296875
EDTRPAS1-41,marginalised,26.983046801879937,4.77855210261238e-18,1477.2005615234375
EDTRPAS1-41,marginalised,27.566463713557475,4.523168063395086e-18,1480.5557861328125
EDTRPAS1-41,marginalised,28.162495038104353,2.5969572887832207e-18,1516.301025390625
EDTRPAS1-41,marginalised,28.771413519434645,9.340505437251802e-19,1588.763427734375
EDTRPAS1-41,marginalised,29.39349779862497,2.641271021871963e-19,1665.387451171875
EDTRPAS1-41,marginalised,30.029032541420566,9.098402144875366e-20,1665.864013671875
EDTRPAS1-41,marginalised,30.6783085684984,4.475876030507771e-20,1666.47607421875
EDTRPAS1-41,marginalised,31.34162298854667,2.7024989870580308e-20,1667.23388671875
EDTRPAS1-41,marginalised,32.01927933422168,1.8078361301989686e-20,1668.1488037109375
EDTRPAS1-41,marginalised,32.71158770104447,1.2820306106170296e-20,1669.239013671875
EDTRPAS1-41,marginalised,33.418864889300416,9.410983871978528e-21,1670.5302734375
EDTRPAS1-41,marginalised,34.14143454900712,7.065217672382925e-21,1672.055419921875
EDTRPAS1-41,marginalised,34.8796273280166,5.377669350880647e-21,1673.8646240234375
EDTRPAS1-41,marginalised,35.63378102331974,4.1180064795595675e-21,1676.0196533203125
EDTRPAS1-41,marginalised,36.40424073562215,3.150301461160255e-21,1678.603515625
EDTRPAS1-41,marginalised,37.19135902726234,2.4026425027988857e-21,1681.7108154296875
EDTRPAS1-41,marginalised,37.99549608354407,1.8236196783072602e-21,1685.455810546875
EDTRPAS1-41,marginalised,38.817019877557314,1.3729077637029392e-21,1689.9586181640625
EDTRPAS1-41,marginalised,39.65630633856262,1.0276636634639464e-21,1695.34130859375
EDTRPAS1-41,marginalised,40.513739524016344,7.681878388632209e-22,1701.713623046875
EDTRPAS1-41,marginalised,41.38971179531536,5.7319178626758425e-22,1709.1556396484375
EDTRPAS1-41,marginalised,42.28462399734155,4.3198628747024e-22,1717.699951171875
EDTRPAS1-41,marginalised,43.19888564188853,3.259141958058472e-22,1727.31640625
EDTRPAS1-41,marginalised,44.13291509505414,2.4689811439872567e-22,1737.8843994140625
EDTRPAS1-41,marginalised,45.08713976868477,1.8772397306996953e-22,1749.186279296875
EDTRPAS1-41,marginalised,46.061996315959,1.4389271436840126e-22,1760.90087890625
EDTRPAS1-41,marginalised,47.057930831200146,1.1132369796850573e-22,1772.601806640625
EDTRPAS1-41,marginalised,48.0753990540089,8.85462723457654e-23,1783.7794189453125
EDTRPAS1-41,marginalised,49.11486657780984,7.064068323156745e-23,1793.8707275390625
EDTRPAS1-41,marginalised,50.176809062906976,5.952462812040358e-23,1802.2974853515625
EDTRPAS1-41,marginalised,51.26171245414578,5.192626704180262e-23,1808.514892578125
EDTRPAS1-41,marginalised,52.37007320328166,4.8539679941455396e-23,1812.0718994140625
EDTRPAS1-41,marginalised,53.50239849615617,4.771374171892385e-23,1812.6453857421875
EDTRPAS1-41,marginalised,54.6592064847853,5.103853748947589e-23,1810.088623046875
EDTRPAS1-41,marginalised,55.841026524465796,5.697572018668475e-23,1804.4432373046875
EDTRPAS1-41,marginalised,57.04839941600816,6.804765742970058e-23,1795.9407958984375
EDTRPAS1-41,marginalised,58.281877653206905,8.678312565212247e-23,1784.9805908203125
EDTRPAS1-41,marginalised,59.542025675661996,1.1222151987292052e-22,1772.091064453125
EDTRPAS1-41,marginalised,60.82942012706617,1.545090843827103e-22,1757.8829345703125
EDTRPAS1-41,marginalised,62.14465011907715,2.1671812141833953e-22,1742.9873046875
EDTRPAS1-41,marginalised,63.4883175008951,3.193841814604049e-22,1728.0128173828125
EDTRPAS1-41,marginalised,64.8610371346688,4.944583362850834e-22,1713.495361328125
EDTRPAS1-41,marginalised,66.26343717685661,8.323661514960441e-22,1699.87548828125
EDTRPAS1-41,marginalised,67.69615936567062,1.593354917927287e-21,1687.47265625
EDTRPAS1-41,marginalised,69.15985931473637,3.89989587619956e-21,1676.4892578125
EDTRPAS1-41,marginalised,70.65520681310134,2.904598226429568e-20,1667.013427734375
EDTRPAS1-41,marginalised,72.18288613173067,2.9566533403221094e-08,359.70391845703125
EDTRPAS1-41,marginalised,73.7435963366291,0.0006544351452231233,41.31932830810547
EDTRPAS1-41,marginalised,75.33805160873402,0.0036966256199864687,13.116294860839844
EDTRPAS1-41,marginalised,76.96698157072439,0.00888458817965917,6.622594833374023
EDTRPAS1-41,marginalised,78.63113162089608,0.01268926362163243,4.834500789642334
EDTRPAS1-41,marginalised,80.3312632742562,0.013573528630359528,4.347050666809082
EDTRPAS1-41,marginalised,82.06815451099217,0.013022350989943629,4.35606050491333
EDTRPAS1-41,marginalised,83.84260013247567,0.012181040286683355,4.346285343170166
EDTRPAS1-41,marginalised,85.65541212496332,0.011498882827045809,4.533784866333008
EDTRPAS1-41,marginalised,87.50742003116208,0.010970194676645952,4.62460470199585
EDTRPAS1-41,marginalised,89.39947132982762,0.010642231745376042,4.564372539520264
EDTRPAS1-41,marginalised,91.33243182357072,0.010382154472210522,4.71087646484375
EDTRPAS1-41,marginalised,93.30718603504822,0.010219691450456767,4.617622375488281
EDTRPAS1-41,marginalised,95.32463761172104,0.010133123980642337,4.641541004180908
EDTRPAS1-41,marginalised,97.38570973936291,0.01009147407940862,4.704159736633301
EDTRPAS1-41,marginalised,99.4913455645102,0.0100750001356676,4.7745490074157715
EDTRPAS1-41,marginalised,101.64250862604577,0.01007257495539335,4.786864280700684
EDTRPAS1-41,marginalised,103.84018329611439,0.010077713266147667,4.733893394470215
EDTRPAS1-41,marginalised,106.08537523057109,0.010086654870757652,4.695042133331299
EDTRPAS1-41,marginalised,108.37911182916974,0.010097117045292309,4.665676116943359
EDTRPAS1-41,marginalised,110.72244270570084,0.010107801542305424,4.643061637878418
EDTRPAS1-41,marginalised,113.11644016829474,0.01011795718897274,4.625499725341797
EDTRPAS1-41,marginalised,115.56219971011004,0.010127236346741106,4.611838340759277
EDTRPAS1-41,marginalised,118.06084051063068,0.010135470646287432,4.601243019104004
EDTRPAS1-41,marginalised,120.61350594780318,0.01014265610841648,4.593090057373047
EDTRPAS1-41,marginalised,123.22136412124581,0.010148807823287162,4.5868754386901855
EDTRPAS1-41,marginalised,125.88560838677115,0.010154039794809224,4.58220100402832
EDTRPAS1-41,marginalised,128.60745790246563,0.010158456884096754,4.578738212585449
EDTRPAS1-41,marginalised,131.38815818657628,0.010162143823873749,4.576223850250244
EDTRPAS1-41,marginalised,134.2289816874595,0.010165206096830618,4.574443817138672
EDTRPAS1-41,marginalised,137.13122836585396,0.010167777056444624,4.573221206665039
EDTRPAS1-41,marginalised,140.09622628974222,0.010169893606148991,4.572419166564941
EDTRPAS1-41,marginalised,143.1253322420748,0.01017166900999303,4.571927547454834
EDTRPAS1-41,marginalised,146.2199323416334,0.010173139296262285,4.571659088134766
EDTRPAS1-41,marginalised,149.38144267731985,0.010174378841454649,4.571548938751221
EDTRPAS1-41,marginalised,152.61130995615753,0.010175418977560512,4.5715484619140625
EDTRPAS1-41,marginalised,155.9110121653047,0.010176275143331087,4.571621894836426
EDTRPAS1-41,marginalised,159.28205924838147,0.010176989820873,4.571744441986084
EDTRPAS1-41,marginalised,162.7259937964198,0.010177535439930972,4.571903228759766
EDTRPAS1-41,marginalised,166.24439175375318,0.010177941345117998,4.572088241577148
EDTRPAS1-41,marginalised,169.83886313916886,0.010178169463034906,4.572299957275391
EDTRPAS1-41,marginalised,173.51105278265177,0.010178226215868755,4.572537899017334
EDTRPAS1-41,marginalised,177.26264107805957,0.0101780729501585,4.5728068351745605
EDTRPAS1-41,marginalised,181.09534475207033,0.010177719481836833,4.5731096267700195
EDTRPAS1-41,marginalised,185.01091764975627,0.010177160374399738,4.573451519012451
EDTRPAS1-41,marginalised,189.01115153714395,0.010176384372352304,4.5738325119018555
EDTRPAS1-41,marginalised,193.0978769211259,0.010175399394423985,4.574251651763916
EDTRPAS1-41,marginalised,197.27296388710056,0.010174221109143835,4.574705600738525
EDTRPAS1-41,marginalised,201.53832295472327,0.010172924394090024,4.575184345245361
EDTRPAS1-41,marginalised,205.89590595216012,0.010171520393843662,4.5756754875183105
EDTRPAS1-41,marginalised,210.34770690924438,0.010170073325568884,4.576164722442627
