SampleID,LPM,free_params,n_active,tau1_reported,tau1_sigma,tau1_shift_pct,chi2_sigma,w_reported,w_sigma,hit_bound,w_sigma_scaled,hit_bound_scaled,dof,dchi2_scaled,cls_reported,cls_sigma,cls_sigma_scaled,n_eval,seconds
EDTRPAS1-36,DM,"Mean Age, Model Parm 1",4,29.5683,27.349058151245117,-7.50547663800382,17.01831790869705,0.491082298010587,0.033201701985672044,False,0.08600102253258225,False,2,8.509158954348525,well constrained,well constrained,well constrained,132,21.9
EDTRPAS1-37,DM,"Mean Age, Model Parm 1",3,22.6662,26.96878433227539,18.982380514931442,26.409365373898765,2.580362116149627,0.022195975668728482,False,0.10714555983431634,False,1,26.409365373898765,unconstrained,well constrained,well constrained,133,17.9
EDTRPAS1-33,DM,"Mean Age, Model Parm 1",4,31.2915,29.472511291503906,-5.813044144563517,6.79204829754681,0.4400883227121087,0.02304899455048157,False,0.052716966858133395,False,2,3.396024148773405,well constrained,well constrained,well constrained,132,21.0
EDTRPAS1-31,DM,"Mean Age, Model Parm 1",3,31.1975,31.193851470947266,-0.011694940468742488,0.0020509415347534305,2.2695114572299646,0.07556151612661823,False,0.004363919980824062,False,1,0.0020509415347534305,unconstrained,well constrained,well constrained,132,17.8
EDTRPAS1-32,DM,"Mean Age, Model Parm 1",4,32.061,199.9939422607422,523.7919661293852,41.5547723042658,0.4146211900748313,0.05855627036661477,True,0.5403589838185222,True,2,20.7773861521329,well constrained,unconstrained,unconstrained,77,19.1
EDTRPAS1-42,DM,"Mean Age, Model Parm 1",4,30.6951,27.344337463378906,-10.916278287482672,75.49305308557578,0.4868303088936947,0.021479170210659294,False,0.11370647172443622,False,2,37.74652654278789,well constrained,well constrained,well constrained,134,20.9
EDTRPAS1-28,DM,"Mean Age, Model Parm 1",4,30.5696,27.622203826904297,-9.641592212837931,16.524550679320118,0.3655233159195641,0.03493815422989431,False,0.08940145657397797,False,2,8.262275339660059,well constrained,well constrained,well constrained,132,20.8
EDTRPAS1-45,DM,"Mean Age, Model Parm 1",3,20.9116,20.447134017944336,-2.2210925135124238,0.418395561591166,2.739895324525424,0.22269322355277824,False,0.14950933223590257,False,1,0.418395561591166,unconstrained,well constrained,well constrained,137,17.7
EDTRPAS1-49,DM,"Mean Age, Model Parm 1",4,21.5416,27.105087280273438,25.8267133373261,50.19584932815271,1.1579554624855517,0.01977049685083348,False,0.09514961503446086,False,2,25.097924664076356,weakly constrained,well constrained,well constrained,133,21.0
EDTRPAS1-50,DM,"Mean Age, Model Parm 1",3,16.5395,23.581724166870117,42.578216795369364,2.02840599016845,2.735477155982517,0.10927896089851871,False,0.19037765250541272,False,1,2.02840599016845,unconstrained,well constrained,well constrained,136,18.2
EDTRPAS1-41,BMM-DM-DM,"Mean Age, Fraction",4,29.2111,26.58994483947754,-8.973147743571655,3.84015768364239,1.3177445384440942,0.26451974846422655,False,0.37014224948361457,False,2,1.920078841821195,unconstrained,well constrained,well constrained,143,36.1
EDTRPAS1-35,BMM-DM-DM,"Mean Age, Fraction",4,27.9778,30.59899139404297,9.368825976463375,4.93149669218566,1.3259511349024249,0.15583424195647258,False,0.25293987593613537,False,2,2.46574834609283,unconstrained,well constrained,well constrained,138,35.7
EDTRPAS1-29,BMM-DM-DM,"Mean Age, Fraction",4,42.028,45.818382263183594,9.018707202778137,0.5761972517550318,1.804494508053175,0.2682269789744168,False,0.10430942797102047,False,2,0.2880986258775159,unconstrained,well constrained,well constrained,137,35.8
EDTRPAS1-46,BMM-DM-DM,"Mean Age, Fraction",3,35.188,35.43799591064453,0.7104578567822236,0.15478137563575878,1.2412130519980566,0.061231398768722974,False,0.013537558913230736,False,1,0.15478137563575878,unconstrained,well constrained,well constrained,132,28.8
EDTRPAS1-30,BMM-DM-DM,"Mean Age, Fraction",4,30.1719,27.16974449157715,-9.950170550819974,8.054748067974796,2.498614855273627,0.23641236494295315,False,0.4931423958856614,False,2,4.027374033987398,unconstrained,well constrained,well constrained,145,36.3
EDTRPAS1-34,BMM-DM-DM,"Mean Age, Fraction",4,30.3118,30.264606475830078,-0.1556935720409989,0.4139722657970393,1.1483756566653032,0.08742501121014368,False,0.025487084500491503,False,2,0.20698613289851964,unconstrained,well constrained,well constrained,132,34.8
EDTRPAS1-43,BMM-DM-DM,"Mean Age, Fraction",4,32.1157,29.851177215576172,-7.05113942533971,1.209880334610727,1.2505346419988197,0.06735684615559864,False,0.052399094402790024,False,2,0.6049401673053635,unconstrained,well constrained,well constrained,133,34.8
EDTRPAS1-04/EDTRETN1-01,BMM-DM-DM,Fraction,4,35.0,35.0,0.0,40.9686826987227,,,False,,False,3,13.6562275662409,unconstrained,unconstrained,unconstrained,0,20.6
EDTRPAS1-05/EDTRETN1-03,BMM-DM-DM,"Mean Age, Fraction",3,28.2125,28.08865737915039,-0.43896365387543806,2.0952670692413484,1.4098060671938597,0.11499811294488645,False,0.13913540891371695,False,1,2.0952670692413484,unconstrained,well constrained,well constrained,134,32.0
EDTRPAS1-44,BMM-DM-DM,"Mean Age, Fraction",4,18.6068,19.87604331970215,6.821394972279751,0.08183788764035295,1.524743762169965,0.33888749689795117,False,0.042499926360323764,False,2,0.040918943820176475,unconstrained,well constrained,well constrained,138,34.9
SCTXLUSRC1-11,DM,"Mean Age, Model Parm 1",4,17.4647,17.464998245239258,0.001707703191335983,373.88780684780977,0.345130124734715,0.024492696020752304,False,0.5603996980004007,False,2,186.94390342390489,well constrained,well constrained,weakly constrained,142,22.5
SCTXLUSRC1-08,DM,"Mean Age, Model Parm 1",3,15.005,14.992789268493652,-0.08137775079205889,0.3522208681338347,2.874059326131828,0.23736376492306555,False,0.12470311359502344,False,1,0.3522208681338347,unconstrained,well constrained,well constrained,136,18.7
