SampleID,tau2_was_free,tau2,chi2_sigma,dof,tau2_lo,tau2_hi,w_tau2,hit_bound,cls_tau2,w_tau2_scaled,hit_bound_scaled,cls_tau2_scaled,seconds
EDTRPAS1-41,False,181.546875,4.56428574945104,2,93.69207382245764,544.640625,2.4839235110906888,True,unconstrained,2.5766983353765682,True,unconstrained,43.7
EDTRPAS1-35,False,854.2389526367188,5.92237331656169,2,85.42389526367188,2562.7168579101562,2.9,True,unconstrained,2.9,True,unconstrained,40.9
EDTRPAS1-29,False,13741.3115234375,0.5437922815999912,2,11859.687988226833,16068.549316341396,0.3062925486359749,False,well constrained,0.15763767776079501,False,well constrained,35.2
EDTRPAS1-46,False,25766.845703125,0.0028177105675388585,1,21271.25878950504,33841.943359095516,0.4878627642057835,False,well constrained,0.022769691376015633,False,well constrained,28.9
EDTRPAS1-30,False,4017.052734375,9.008738600728162,2,895.0777893889347,8785.13037111354,1.964139657467602,False,unconstrained,2.9000000000000004,True,unconstrained,37.8
EDTRPAS1-34,False,751.1864624023438,0.0013525504668980535,2,150.0,4825.018310546995,6.223512462666032,True,unconstrained,0.14182609398849286,False,well constrained,41.3
EDTRPAS1-43,False,1677.1435546875,3.0508033937735166,2,167.71435546875,5000.0,2.881259407416465,True,unconstrained,2.881259407416465,True,unconstrained,33.1
EDTRPAS1-04/EDTRETN1-01,False,1153.3929443359375,40.19805601944933,2,250.0,5701.093017557109,4.726136954735369,True,unconstrained,2.78324819721874,True,unconstrained,65.0
EDTRPAS1-05/EDTRETN1-03,False,5205.1640625,0.026955117510833494,1,1643.6969604763983,10288.455566382432,1.6608042517211308,False,unconstrained,0.2725897771306343,False,well constrained,30.7
EDTRPAS1-44,False,93.7492904663086,0.20296787780680794,2,89.21220016630723,281.2478713989258,2.048395996144972,True,unconstrained,4.472571976622577,False,unconstrained,50.9
SCTXSUS1-13/EDTRVFPS1-08,True,8725.8779296875,24.735311732479445,2,4078.048217891012,9282.10789,0.596393820088125,True,unconstrained,0.963744870693191,True,unconstrained,29.6
SCTXSUS1-14/EDTRVFPS1-07,True,285.1258850097656,17.846975629531382,2,102.39068984517237,1267.0263061461064,4.084636567672714,False,unconstrained,2.6738304084399713,True,unconstrained,48.9
SCTXSUS1-10/EDTRVFPS1-15,True,80.24813079833984,4.230383057907178,2,79.55981063789199,81.02283096235436,0.018231207504868684,False,well constrained,0.026709872717037765,False,well constrained,33.5
SCTXSUS1-09/EDTRVFPS1-14,True,285.2181091308594,4.6272890204632935,2,97.56071853310304,1827.4356079124118,6.065094865998268,False,unconstrained,2.6698389192344614,True,unconstrained,52.4
SCTXSUS1-04/EDTRVFPS1-20,True,13049.916015625,6.217544823372265,1,10747.937988217394,16240.09326151655,0.42085751867853066,False,well constrained,1.1841166100930407,False,weakly constrained,30.1
EDTRVFPS1-11,True,775.1018676757812,8.998114865348466,1,135.37219045,2514.3314209152113,3.069221388407634,True,unconstrained,10.656132572003322,True,unconstrained,39.9
EDTRVFPS1-12,True,1286.735107421875,61.97635495496125,2,143.34601594368172,2971.488403333146,2.1979212124366296,False,unconstrained,2.94175933257211,True,unconstrained,40.5
EDTRVFPS1-18,True,399.364501953125,55.17846791769518,2,74.66988755194018,1959.19769286931,4.718816509982563,False,unconstrained,2.8153990742051977,True,unconstrained,53.2
