SampleID,LPM,free_params,n_active,tau1,chi2_stored,chi2_profile_ref,tau1_lo_cond,tau1_hi_cond,w_tau1_cond,tau1_lo_true,tau1_hi_true,w_tau1_true,true_hit_bound,n_eval,seconds
EDTRPAS1-36,DM,"Mean Age, Model Parm 1",4,29.5683,0.045,0.045,21.06314182235572,35.37833976788539,0.48414004002697725,20.963103294192095,35.48357200645854,0.49108229801058706,False,75,2.69
EDTRPAS1-37,DM,"Mean Age, Model Parm 1",3,22.6662,0.0483,0.0483,10.115486621611769,36.38427925120553,1.1589411824475986,9.511596202929322,67.9986,2.580362116149627,True,288,8.22
EDTRPAS1-33,DM,"Mean Age, Model Parm 1",4,31.2915,0.0134,0.0134,23.4599390028632,36.67432975788272,0.42229969017207597,23.39152240825927,37.16254615840522,0.44008832271210874,False,74,2.66
EDTRPAS1-31,DM,"Mean Age, Model Parm 1",3,31.1975,0.0,0.0,22.789418220524723,41.57339286801877,0.6020987145602708,22.789416313068173,93.5925,2.2695114572299646,True,210,6.06
EDTRPAS1-32,DM,"Mean Age, Model Parm 1",4,32.061,0.077,0.077,24.52988338502075,37.771097183041576,0.41300064870156344,24.524645804940565,37.81781577992973,0.4146211900748313,False,73,2.64
EDTRPAS1-42,DM,"Mean Age, Model Parm 1",4,30.6951,0.0571,0.0571,22.238795280581627,36.142839431915206,0.4529727595392613,22.12641429944678,37.06971931396963,0.4868303088936947,False,75,2.86
EDTRPAS1-28,DM,"Mean Age, Model Parm 1",4,30.5696,0.0671,0.0671,24.08884525304563,35.245134354191066,0.36494717304594876,24.088166236916546,35.262067795251255,0.36552331591956416,False,73,2.68
EDTRPAS1-45,DM,"Mean Age, Model Parm 1",3,20.9116,0.0044,0.0044,5.454188585453862,51.69335746795434,2.211173170991243,5.439204931654156,62.7348,2.7398953245254236,True,313,9.9
EDTRPAS1-49,DM,"Mean Age, Model Parm 1",4,21.5416,0.2223,0.2223,9.77196645743469,26.434908866694396,0.7735238983761515,9.052164554455413,33.99637794513417,1.1579554624855517,False,88,3.32
EDTRPAS1-50,DM,"Mean Age, Model Parm 1",3,16.5395,0.005,0.005,4.39791130989313,40.37495231654702,2.175219384301453,4.375075578627157,49.6185,2.735477155982517,True,389,11.68
EDTRPAS1-41,BMM-DM-DM,"Mean Age, Fraction",4,29.2111,0.1641,0.1641,16.857579230905777,35.996412277561554,0.6551904257852589,2.92111,41.41387748694428,1.3177445384440942,True,60,4.44
