SampleID,Network,AgeCat,LPM,free_params,n_active,n_free,dof,chi2,tau1,tau1_profile_lo,tau1_profile_hi,w_tau1,lambda_min,lambda_max,cond_number,singular,hessian_pos_def,profile_hit_bound,max_abs_corr,strong_corr,sloppy_direction,sloppy_loading,identifiability,lambda_min_scaled,lambda_max_scaled,cond_number_scaled,sloppy_direction_scaled,sloppy_loading_scaled,gradient_check,singular_scaled,identifiability_scaled,bound_active,bound_active_params,projected_grad_norm,identifiability_final,Aq_class,Aq_seg,Well_class,identifiability_final_before_nonconv_check,not_assessable_reason,w_tau1_cond,w_tau1_true,tau1_lo_true,tau1_hi_true,true_hit_bound,cls_true
EDTRPAS1-37,EDTRPAS1,Modern,DM,"Mean Age, Model Parm 1",3,2,1,0.0483,22.6662,9.066480000527733,36.38427925120553,1.205221839156003,0.0066816189736308,91.96859135223178,13764.417234084713,False,True,False,0.3921911706885408,False,tau1,0.999993395921954,weakly constrained,0.0144033863711255,4.059486696941795,281.8425189981595,pd1,0.9996753960620782,2.6037137984981864e-05,False,weakly constrained,False,,0.0013804559734896,weakly constrained,confined,San Antonio,PSW,weakly constrained,,1.1589411824475986,2.580362116149627,9.511596202929322,67.9986,True,unconstrained
EDTRPAS1-33,EDTRPAS1,Modern,DM,"Mean Age, Model Parm 1",4,2,2,0.0134,31.2915,21.90405000072856,36.67432975788272,0.4720221068710085,0.0318212037695802,636.8838848347054,20014.449781549112,False,True,False,0.4986705310932677,False,tau1,0.9999917305540204,well constrained,0.0135427356382848,41.47694648799957,3062.671205863723,pd1,0.9999463366939838,3.028283813362317e-05,False,well constrained,False,,0.0194284228806607,well constrained,confined,San Antonio,PSW,well constrained,,0.4222996901720759,0.4400883227121087,23.39152240825927,37.16254615840522,False,well constrained
EDTRPAS1-31,EDTRPAS1,Modern,DM,"Mean Age, Model Parm 1",3,2,1,0.0,31.1975,21.83825000072636,41.57339286801877,0.6325873184483504,0.0193447357043827,184.85887934658672,9556.03023848527,False,False,False,,False,tau1,0.9999960161842204,weakly constrained,0.0013371924445122,20.261947707874004,15152.604093021682,pd1,0.9999974698981998,2.657681271272121e-05,False,weakly constrained,False,,0.0034168074347755,weakly constrained,confined,San Antonio,PSW,weakly constrained,,0.6020987145602708,2.2695114572299646,22.789416313068173,93.5925,True,unconstrained
EDTRPAS1-32,EDTRPAS1,Modern,DM,"Mean Age, Model Parm 1",4,2,2,0.077,32.061,25.648799999253523,37.771097183041576,0.3781010319013148,-0.0320054413736691,516.2064414778711,16128.70872334084,True,False,False,,False,tau1,0.99992998513041,unconstrained,6.140156829182244e-05,41.40113201281602,674268.3153636955,pd1,0.999967664551381,0.0001587188963604,False,well constrained,True,pd1,0.0002012646291404,well constrained,confined,San Antonio,PSW,well constrained,,0.4130006487015634,0.4146211900748313,24.524645804940565,37.81781577992973,False,well constrained
EDTRPAS1-36,EDTRPAS1,Modern,DM,"Mean Age, Model Parm 1",4,2,2,0.045,29.5683,22.176224999311568,35.37833976788539,0.4464955634437497,0.0287830887283914,649.8567648919378,22577.72857611784,False,True,False,0.3892896397819285,False,tau1,0.9999960440554309,well constrained,0.0071746631132153,29.657975082812463,4133.70978048906,pd1,0.999978469656152,9.8248301505171e-05,False,well constrained,False,,0.0081550911150472,well constrained,confined,San Antonio,PSW,well constrained,,0.4841400400269772,0.491082298010587,20.96310329419209,35.48357200645854,False,well constrained
EDTRPAS1-46,EDTRPAS1,Mixed,BMM-DM-DM,"Mean Age, Fraction",3,2,1,0.0014,35.188,26.39100000081929,41.89246177667502,0.4405326183885338,0.0265519169551711,103.17768496485226,3885.884591272707,False,True,False,0.153072160139344,False,tau1,0.9999969111519892,well constrained,4.915342501392497,33.803722708560755,6.877185607917311,f1,0.9975975294300816,3.212058876832859e-05,False,well constrained,False,,0.0046180775124203,well constrained,confined,San Antonio,PSW,well constrained,,0.4074348025955262,1.2412130519980566,3.5188000000000006,47.19460487370762,True,unconstrained
EDTRPAS1-04/EDTRETN1-01,EDTRPAS1/EDTRETN1,Modern,BMM-DM-DM,Fraction,4,1,3,1.017,35.0,,,,8.011350631713867,8.011350631713867,1.0,False,True,False,,False,f1,1.0,unconstrained,3.029041969981885,3.029041969981885,1.0,f1,1.0,2.1724774669591723e-05,False,unconstrained,False,,0.0001070201396942,unconstrained,confined,San Antonio,PSW,unconstrained,,,,,,False,unconstrained
EDTRPAS1-29,EDTRPAS1,Mixed,BMM-DM-DM,"Mean Age, Fraction",4,2,2,0.9536,42.028,4.2028,47.3621807091222,1.026919689471833,0.0047879134843426,162.49922128863835,33939.46482534403,False,True,False,0.9509626520376304,True,tau1,0.9998606860960106,weakly constrained,0.2797945126832069,91.16532070105256,325.8295519336118,f1,0.984776427413505,5.412524131534621e-05,False,weakly constrained,False,,0.006936047096934,weakly constrained,confined,San Antonio,PSW,weakly constrained,,1.026919689471833,1.804494508053175,4.2028,80.04209518445883,True,unconstrained
EDTRPAS1-28,EDTRPAS1,Modern,DM,"Mean Age, Model Parm 1",4,2,2,0.0671,30.5696,22.927200000711743,35.245134354191066,0.402947187842802,0.0475131495250796,10548.358697910016,222009.25014120783,False,True,False,0.0791420144610367,False,tau1,0.9999999858047172,well constrained,0.0132087870050124,44.67985040771523,3382.585425199176,pd1,0.999999104822516,2.821600163223116e-05,False,well constrained,False,,0.4774931385930533,well constrained,confined,San Antonio,PSW,well constrained,,0.3649471730459487,0.3655233159195641,24.088166236916543,35.262067795251255,False,well constrained
EDTRPAS1-49,EDTRPAS1,Modern,DM,"Mean Age, Model Parm 1",4,2,2,0.2223,21.5416,10.770799999498449,26.4349088666944,0.7271562403533605,0.0091156205801013,217.81984936905224,23895.229891921528,False,True,False,0.8529728803701032,True,tau1,0.9999441066560312,weakly constrained,0.168351401386785,15.996890412353848,95.02083309423254,pd1,0.98513488360653,9.525539582707149e-05,False,weakly constrained,False,,0.0064486812834009,weakly constrained,unconfined,San Antonio,PSW,weakly constrained,,0.7735238983761515,1.1579554624855517,9.052164554455413,33.99637794513417,False,weakly constrained
EDTRPAS1-50,EDTRPAS1,Modern,DM,"Mean Age, Model Parm 1",3,2,1,0.005,16.5395,4.961849999614901,40.37495231654702,2.141122906794771,-230.5560185177729,0.0142081747309197,6.162569436383843e-05,True,False,False,,False,pd1,0.9999939039638364,unconstrained,0.0008223622699973,3.117634225021757,3791.071573641008,pd1,0.9999908739918114,0.0003589671436794,False,unconstrained,True,pd1,8.74095712788403e-06,unconstrained,confined,San Antonio,PSW,unconstrained,,2.175219384301453,2.735477155982517,4.375075578627157,49.6185,True,unconstrained
EDTRPAS1-42,EDTRPAS1,Modern,DM,"Mean Age, Model Parm 1",4,2,2,0.0571,30.6951,23.02132499928532,36.142839431915206,0.4274791231378912,0.0282936877967236,484.2878360637067,17116.462143184697,False,True,False,0.4599711792396729,False,tau1,0.999992160016597,well constrained,0.0220370256201453,33.81787993655543,1534.5936661089356,pd1,0.9999123812880584,6.692238850266017e-06,False,well constrained,False,,0.0017058334112311,well constrained,confined,San Antonio,PSW,well constrained,,0.4529727595392613,0.4868303088936947,22.12641429944678,37.06971931396963,False,well constrained
EDTRPAS1-45,EDTRPAS1,Modern,DM,"Mean Age, Model Parm 1",3,2,1,0.0044,20.9116,6.273479999513115,51.69335746795434,2.1719943700358284,0.0045200534817396,6.023225191077161,1332.556177799688,False,True,False,0.1450064789746224,False,tau1,0.9999919285973712,unconstrained,0.0886573924541153,2.021098734210785,22.79673108203364,pd1,0.9994838714246308,1.733712745524891e-05,False,unconstrained,False,,0.0002305251341851,unconstrained,unconfined,San Antonio,PSW,unconstrained,,2.211173170991243,2.739895324525424,5.439204931654156,62.7348,True,unconstrained
SCTXLUSRC1-11,SCTXLUSRC1,Modern,DM,"Mean Age, Model Parm 1",4,2,2,3.7389,17.4647,14.84499499959337,19.611210823019825,0.2729056796524678,-71394.18169797513,0.4823222562996159,6.755764192942567e-06,True,False,False,,False,pd1,0.9999997123525852,unconstrained,0.0295011648208154,134.5906830828427,4562.21589555264,pd1,0.9999752997605852,0.0007995479234691,False,well constrained,True,pd1,0.0002257656306028,well constrained,unconfined,San Antonio,MW (urban),well constrained,,0.3141766501590611,0.345130124734715,14.03720712673128,20.064801216185657,False,well constrained
SCTXLUSRC1-08,SCTXLUSRC1,Modern,DM,"Mean Age, Model Parm 1",3,2,1,0.0035,15.005,1.500500000349366,42.22213554401013,2.7138710792176446,-0.0428384521124958,2.551581463505149,59.562877220786895,True,False,False,,False,tau1,0.9891983734923488,unconstrained,9.460271405692416e-05,2.9058485632953683,30716.33401074378,pd1,0.9999938864910424,6.464913547165939e-05,False,unconstrained,True,pd1,9.518764272797853e-06,unconstrained,unconfined,San Antonio,MW (urban),unconstrained,,2.687928887922319,2.874059326131828,1.8897398113919224,45.015,True,unconstrained
SCTXLUSRC1-10,SCTXLUSRC1,Modern,DM,"Mean Age, Model Parm 1",4,2,2,1.9227,10.5141,6.308459999755196,17.051024437136512,1.0217293384484945,-64472.23315997695,0.6815915283984237,1.0571861637042564e-05,True,False,False,,False,pd1,0.9999999488352812,unconstrained,-0.00139614461281,74.61811829765125,53445.83763960205,pd1,0.9999957775054348,0.0008537950809694,True,unconstrained,True,pd1,5.763396620750427e-05,weakly constrained,unconfined,San Antonio,MW (urban),weakly constrained,,1.0526512132026251,1.0584626844618463,5.92224192643621,17.051024437136512,False,weakly constrained
EDTRPAS1-30,EDTRPAS1,Mixed,BMM-DM-DM,"Mean Age, Fraction",4,2,2,0.3256,30.1719,16.594545000702496,37.753427505165774,0.7012777619063857,0.0098942732788046,8.053931302356032,813.9992777043078,False,True,False,0.0025829219457277,False,tau1,0.9999999958920538,weakly constrained,4.424310015701008,9.0073141850848,2.0358686785328355,f1,0.9999936707044852,2.792256704172663e-05,False,weakly constrained,False,,0.0003778935444122,weakly constrained,confined,San Antonio,PSW,weakly constrained,,0.6755892402026804,2.498614855273627,3.0171900000000003,78.40514755183034,True,unconstrained
EDTRPAS1-05/EDTRETN1-03,EDTRPAS1/EDTRETN1,Mixed,BMM-DM-DM,"Mean Age, Fraction",3,2,1,0.015,28.2125,16.927500000656877,38.500204085800526,0.764650565711782,0.0111111604103678,12.063599482508575,1085.7191361625971,False,True,False,0.4881834281256602,False,tau1,0.9998555875542996,weakly constrained,3.403824254773596,13.345322023408258,3.920684801717507,f1,0.9087776728335436,1.716100407252335e-05,False,weakly constrained,False,,0.0003037497771697,weakly constrained,confined,San Antonio,PSW,weakly constrained,,0.734214495355264,1.4098060671938597,2.82125,42.59540367070676,True,unconstrained
