SampleID,Network,AgeCat,LPM,n_active,n_free,tau1,f1,tau2,mean_age_mixture,mean_age_sigma_delta,mean_age_p16,mean_age_p50,mean_age_p84,mean_age_sigma_mc,mean_age_fixed_contributors,mean_age_sigma_alt,mean_age_sigma,mean_age_sigma_source,F_lt10yr,F_lt10yr_delta_sigma,F_lt10yr_p16,F_lt10yr_p50,F_lt10yr_p84,F_lt10yr_width,F_lt10yr_source,F_lt10yr_n,F_lt25yr,F_lt25yr_delta_sigma,F_lt25yr_p16,F_lt25yr_p50,F_lt25yr_p84,F_lt25yr_width,F_lt25yr_source,F_lt25yr_n,F_lt40yr,F_lt40yr_delta_sigma,F_lt40yr_p16,F_lt40yr_p50,F_lt40yr_p84,F_lt40yr_width,F_lt40yr_source,F_lt40yr_n,mc_draws_used,Aq_class,Well_class,LPM_MeanAgeFinal_yrs
EDTRPAS1-36,EDTRPAS1,Modern,DM,4,2,29.5683,,,29.5683,1.2503622063391495,28.007246856689452,29.5051326751709,31.059608078002928,1.5735983730079466,,,1.2503622063391495,delta,3.7693656990633425e-41,8.676719220322589e-39,1.4182225718425503e-147,4.740978272624949e-54,3.5805273396339473e-13,3.5805273396339473e-13,mc,500,0.026462560424467183,0.16944180245239965,1.7121910621974994e-06,0.015861359015183995,0.22033302625642884,0.22033131406536663,mc,500,0.9998544354128194,0.0023997014839642586,0.9871641378342857,0.9999764645081681,0.9999999977514709,0.012835859917185166,mc,500,True,confined,PSW,28
EDTRPAS1-37,EDTRPAS1,Modern,DM,3,2,22.6662,,,22.6662,3.802286541569759,20.20323539733887,22.693718910217285,25.4750114440918,2.947624630538439,,,3.802286541569759,delta,2.3591208956303215e-07,8.867711386502662e-06,2.0328923900042226e-104,4.504332369829486e-14,1.8393266971516293e-05,1.8393266971516293e-05,mc,500,0.7519652792827323,0.30898255525223534,0.3480932125607998,0.7491789899346095,0.9005237454142033,0.5524305328534036,mc,500,0.9998309411209346,0.0026597844270363053,0.9998261406122803,0.9999979214735766,1.0,0.00017385938771974363,mc,500,True,confined,PSW,22
EDTRPAS1-33,EDTRPAS1,Modern,DM,4,2,31.2915,,,31.2915,0.6489190526805311,29.996813201904295,31.263811111450195,32.5867236328125,1.2629748153935243,,,0.6489190526805311,delta,1.063145306790857e-31,7.46068617631333e-30,6.638580552562064e-172,3.210797760025138e-39,6.000619652645782e-14,6.000619652645782e-14,mc,500,0.01646134384786804,0.050332354457287266,2.134710704596032e-09,0.010199899424501013,0.12159712775572426,0.12159712562101356,mc,500,0.9928062850999299,0.021578892797054196,0.9637225090988465,0.9973024713424408,0.9999994415265816,0.03627693242773511,mc,500,True,confined,PSW,29
EDTRPAS1-31,EDTRPAS1,Modern,DM,3,2,31.1975,,,31.1975,,29.804988021850587,31.23408603668213,32.83289016723633,1.6037848788510625,,,,delta,5.035087262441802e-58,,2.4133684512166924e-173,4.663773284802081e-69,8.026553882302052e-20,8.026553882302052e-20,mc,500,0.0017181284676509494,,1.1233033507153967e-09,0.0006734007106913048,0.09298188772071884,0.09298188659741549,mc,500,0.9996279145986648,,0.9910860232170419,0.9995343651053634,0.9999917047830752,0.00890568156603333,mc,500,True,confined,PSW,30
EDTRPAS1-32,EDTRPAS1,Modern,DM,4,2,32.061,,,32.061,,29.824930267333983,31.709708213806152,33.12686538696289,2.599310063766612,,,,delta,2.7586331923077124e-99,,2.5631124905710845e-173,7.826889371079291e-110,9.322353151547129e-15,9.322353151547129e-15,mc,500,1.0939584073023089e-05,,6.034094324118459e-10,0.0005469054337143944,0.09062517615636617,0.09062517555295674,mc,500,0.9999377900132608,,0.9355015419696067,0.9999704462855107,0.9999999935611431,0.06449845159153644,mc,500,True,confined,PSW,28
EDTRPAS1-42,EDTRPAS1,Modern,DM,4,2,30.6951,,,30.6951,1.4205936797882848,29.42247543334961,30.71708583831787,32.22433746337891,1.3395513937338672,,,1.4205936797882848,delta,7.215691627962163e-22,5.534174727868527e-20,7.868273508390115e-169,3.4708042115453054e-25,2.3533402392391675e-11,2.3533402392391675e-11,mc,500,0.05409090802568767,0.17517629795267012,7.66114615980684e-09,0.043890940830019966,0.18591491540622748,0.18591490774508132,mc,500,0.9868261773991869,0.052317810017907286,0.9636459946958756,0.9913274474606395,0.9999969963368143,0.03635100164093863,mc,500,True,confined,PSW,31
EDTRPAS1-28,EDTRPAS1,Modern,DM,4,2,30.5696,,,30.5696,1.188377298342598,26.965414962768556,30.769344329833984,32.5783805847168,4.455072165432006,,,1.188377298342598,delta,4.23276225889297e-139,3.0668158684115247e-136,4.9954059088936337e-163,1.8638797009918915e-128,8.505552971120304e-26,8.505552971120304e-26,mc,500,9.907209628567379e-06,0.00022046145513490218,2.7523164822672035e-09,0.00014111843869022442,0.13301853808503075,0.13301853533271427,mc,500,0.9999999962973736,1.4782433792502268e-07,0.9606358104765544,0.9999997214207075,0.9999999999999998,0.039364189523445337,mc,500,True,confined,PSW,28
EDTRPAS1-45,EDTRPAS1,Modern,DM,3,2,20.9116,,,20.9116,1.3952950335436187,17.332577743530273,20.99291229248047,24.629807205200194,3.674756401562351,,,1.3952950335436187,delta,0.09147817297945242,0.04714354419448933,0.02008683328596757,0.08772824831896125,0.17098977597016105,0.15090294268419346,mc,500,0.7285899553242075,0.04755714501634425,0.5961123087041793,0.7257159335701208,0.8455725384864854,0.2494602297823061,mc,500,0.9454479337906786,0.026451624583570324,0.9187481377152052,0.9458952288024963,0.9790538877577059,0.060305750042500605,mc,500,True,unconfined,PSW,11
EDTRPAS1-49,EDTRPAS1,Modern,DM,4,2,21.5416,,,21.5416,4.938013550592104,17.827861862182615,21.68306541442871,22.9479402923584,3.301073334906282,,,4.938013550592104,delta,0.011765880667200669,0.06484736300201219,2.088804068739459e-05,0.009003464887642148,0.01745916136440447,0.017438273323717075,mc,500,0.7327854637883194,0.1882475002892196,0.6638393331687582,0.7238773478330816,0.9980397323488409,0.3342003991800827,mc,500,0.9819794588670313,0.02325102928609854,0.9648519930877548,0.9810783823988578,0.9999999999998291,0.035148006912074314,mc,500,True,unconfined,PSW,28
EDTRPAS1-50,EDTRPAS1,Modern,DM,3,2,16.5395,,,16.5395,0.8389347405385617,15.385993728637695,16.55363655090332,21.212224044799804,3.3938234422461933,,,0.8389347405385617,delta,3.457261712096186e-30,,9.224167916205544e-57,2.3331020631228046e-27,1.1580592686614953e-20,1.1580592686614953e-20,mc,500,1.0,,0.9992749892292765,0.9999999999999999,1.0,0.0007250107707235109,mc,500,1.0,,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,mc,500,True,confined,PSW,10
